"","species","BRI"
"1","Acanthastrea",29.23
"2","Acanthastrea echinata",42.14
"3","Acanthastrea hemprichii",0
"4","Acanthastrea hillae",0
"5","Acanthastrea lordhowensis",0
"6","Acropora",39.17
"7","Acropora abrotanoides",20
"8","Acropora aculeus",17.69
"9","Acropora acuminata",35.75
"10","Acropora anthocercis",0
"11","Acropora arabensis",61.6
"12","Acropora aspera",40.75
"13","Acropora austera",23.26
"14","Acropora carduus",27.69
"15","Acropora cerealis",48.63
"16","Acropora cervicornis",31.93
"17","Acropora clathrata",32.99
"18","Acropora cytherea",42.48
"19","Acropora digitifera",31.84
"20","Acropora divaricata",28.06
"21","Acropora echinata",71.5
"22","Acropora elseyi",25.43
"23","Acropora eurystoma",52.6
"24","Acropora florida",45.69
"25","Acropora gemmifera",71.07
"26","Acropora glauca",24.35
"27","Acropora grandis",24.23
"28","Acropora horrida",19.4
"29","Acropora humilis",51.14
"30","Acropora hyacinthus",35.71
"31","Acropora latistella",25.27
"32","Acropora listeri",18.46
"33","Acropora longicyathus",25.88
"34","Acropora loripes",9.38
"35","Acropora lutkeni",13.73
"36","Acropora microclados",0
"37","Acropora microphthalma",7.26
"38","Acropora millepora",34.19
"39","Acropora monticulosa",45.23
"40","Acropora muricata",29.3
"41","Acropora nasuta",58.94
"42","Acropora palmata",25.82
"43","Acropora pharaonis",35.75
"44","Acropora pulchra",8.4
"45","Acropora robusta",36.04
"46","Acropora samoensis",11.54
"47","Acropora sarmentosa",12.19
"48","Acropora secale",31.03
"49","Acropora selago",12.31
"50","Acropora seriata",2.75
"51","Acropora solitaryensis",29.88
"52","Acropora spathulata",10.08
"53","Acropora subglabra",35.75
"54","Acropora subulata",29.57
"55","Acropora tenuis",37.85
"56","Acropora valenciennesi",32.82
"57","Acropora valida",16.35
"58","Acropora willisae",0
"59","Acropora yongei",15.96
"60","Agaricia",32.24
"61","Agaricia agaricites",33.51
"62","Agaricia fragilis",7.33
"63","Agaricia grahamae",2.75
"64","Agaricia humilis",11
"65","Agaricia lamarcki",25.54
"66","Agaricia tenuifolia",32.08
"67","Agaricia undata",2.75
"68","Alveopora",25.31
"69","Astrea curta",10.25
"70","Astreopora",23.38
"71","Astreopora myriophthalma",2.75
"72","Australogyra zelli",55.89
"73","Catalaphyllia jardinei",2.75
"74","Caulastraea",26.57
"75","Caulastraea furcata",4.55
"76","Cladocora arbuscula",2.75
"77","Coelastrea aspera",14.27
"78","Coeloseris mayeri",35.96
"79","Colpophyllia amaranthus",2.75
"80","Colpophyllia natans",17.97
"81","Coscinaraea",26.5
"82","Coscinaraea columna",6.51
"83","Coscinaraea exesa",8
"84","Coscinaraea monile",37.13
"85","Ctenactis",0
"86","Ctenactis echinata",0
"87","Cycloseris",37.67
"88","Cycloseris curvata",17.5
"89","Cycloseris distorta",1.38
"90","Cyphastrea",21.75
"91","Cyphastrea chalcidicum",0
"92","Cyphastrea decadia",0.79
"93","Cyphastrea microphthalma",6.54
"94","Cyphastrea ocellina",5.5
"95","Cyphastrea serailia",8.64
"96","Danafungia horrida",0
"97","Dendrogyra cylindrus",45.38
"98","Dichocoenia stellaris",2.75
"99","Dichocoenia stokesii",10.25
"100","Diploastrea",34.21
"101","Diploastrea heliopora",19.94
"102","Diploria",17.33
"103","Diploria clivosa",17.49
"104","Diploria labyrinthiformis",12.28
"105","Diploria strigosa",17.57
"106","Dipsastraea",33.04
