"","master_species","family_molecules","Age.at.maturity","Calcification.rate","Chlorophyll.a","Coloniality","Corallite.width.maximum","Gross.photosynthesis","Growth.form.typical","Growth.rate","Ocean.basin","Oocyte.size.at.maturity","Polyp.fecundity","Polyps.per.area","Propagule.size.on.release","Protein.biomass","Skeletal.density","Tissue.thickness","Total.biomass","Zooxanthellate","Colony.maximum.diameter","Genus","Species"
"1","Acanthastrea brevis","Lobophylliidae",NA,NA,NA,"colonial",1.39794000867204,NA,"massive",NA,"pacific",NA,NA,-0.377785977033705,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acanthastrea","brevis"
"2","Acanthastrea echinata","Lobophylliidae",NA,NA,NA,"colonial",1.35218251811136,NA,"massive",NA,"pacific",2.64640372622307,3,-0.299296282854981,NA,NA,NA,NA,NA,"zooxanthellate",2,"Acanthastrea","echinata"
"3","Acanthastrea hemprichi","Lobophylliidae",NA,NA,NA,"colonial",1.27415784926368,NA,"massive",NA,"pacific",NA,NA,-0.168130225719498,NA,NA,NA,NA,NA,"zooxanthellate",2,"Acanthastrea","hemprichi"
"4","Acanthastrea ishigakiensis","Lobophylliidae",NA,NA,NA,"colonial",1.32221929473392,NA,"massive",NA,"pacific",NA,NA,-0.504455662453552,NA,NA,NA,NA,NA,"zooxanthellate",1.69897000433602,"Acanthastrea","ishigakiensis"
"5","Acanthastrea regularis","Lobophylliidae",NA,NA,NA,"colonial",0.959041392321094,NA,"massive",NA,"pacific",NA,NA,0.320769228338686,NA,NA,NA,NA,NA,"zooxanthellate",1.47712125471966,"Acanthastrea","regularis"
"6","Acanthastrea rotundoflora","Lobophylliidae",NA,NA,NA,"colonial",1.16731733474818,NA,"encrusting",NA,"pacific",NA,NA,-0.424812155072339,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acanthastrea","rotundoflora"
"7","Acanthastrea subechinata","Lobophylliidae",NA,NA,NA,"colonial",1.24797326636181,NA,"massive",NA,"pacific",NA,NA,-0.193820026016113,NA,NA,NA,NA,NA,"zooxanthellate",1.30102999566398,"Acanthastrea","subechinata"
"8","Acropora abrolhosensis","Acroporidae",NA,NA,NA,"colonial",0.176091259055681,NA,"branching_open",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",3,"Acropora","abrolhosensis"
"9","Acropora abrotanoides","Acroporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"branching_open",2.10551018476997,"pacific",2.82020145948564,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","abrotanoides"
"10","Acropora aculeus","Acroporidae",NA,NA,NA,"colonial",0,NA,"corymbose",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.60205999132796,"Acropora","aculeus"
"11","Acropora acuminata","Acroporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"branching_open",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",2.30102999566398,"Acropora","acuminata"
"12","Acropora akajimensis","Acroporidae",NA,NA,NA,"colonial",0.204119982655925,NA,"branching_closed",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","akajimensis"
"13","Acropora anthocercis","Acroporidae",NA,NA,NA,"colonial",0.113943352306837,NA,"tables_or_plates",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",2,"Acropora","anthocercis"
"14","Acropora appressa","Acroporidae",NA,NA,NA,"colonial",NA,NA,"corymbose",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","appressa"
"15","Acropora arabensis","Acroporidae",NA,NA,NA,"colonial",0.301029995663981,NA,"digitate",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","arabensis"
"16","Acropora arafura","Acroporidae",NA,NA,NA,NA,0.0413926851582251,NA,"branching_closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","arafura"
"17","Acropora aspera","Acroporidae",NA,NA,NA,"colonial",0.255272505103306,NA,"branching_open",1.68594406374029,"pacific",NA,1.05499586152914,NA,NA,NA,-0.0362121726544447,0,NA,"zooxanthellate",NA,"Acropora","aspera"
"18","Acropora austera","Acroporidae",NA,NA,NA,"colonial",0.176091259055681,NA,"branching_open",1.79865064544527,"pacific",2.73639650227664,NA,NA,NA,NA,0.15836249209525,NA,NA,"zooxanthellate",NA,"Acropora","austera"
"19","Acropora awi","Acroporidae",NA,NA,NA,"colonial",0,NA,"branching_open",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",2.17609125905568,"Acropora","awi"
"20","Acropora azurea","Acroporidae",NA,NA,NA,"colonial",0.146128035678238,NA,"branching_closed",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.17609125905568,"Acropora","azurea"
"21","Acropora batunai","Acroporidae",NA,NA,NA,"colonial",-0.301029995663981,NA,"tables_or_plates",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",2.09691001300806,"Acropora","batunai"
"22","Acropora bifurcata","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"tables_or_plates",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","bifurcata"
"23","Acropora branchi","Acroporidae",NA,NA,NA,"colonial",0.0413926851582251,NA,"tables_or_plates",NA,"pacific",NA,1.07918124604762,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","branchi"
"24","Acropora bushyensis","Acroporidae",NA,NA,NA,"colonial",0.176091259055681,NA,"digitate",NA,"pacific",NA,0.57978359661681,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.39794000867204,"Acropora","bushyensis"
"25","Acropora cardenae","Acroporidae",NA,NA,NA,"colonial",NA,NA,"branching_open",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","cardenae"
"26","Acropora carduus","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"branching_open",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","carduus"
"27","Acropora caroliniana","Acroporidae",NA,NA,NA,"colonial",0,NA,"tables_or_plates",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.69897000433602,"Acropora","caroliniana"
"28","Acropora cerealis","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"corymbose",1.41857747223964,"pacific",2.81690383937566,0.998549933604767,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.69897000433602,"Acropora","cerealis"
"29","Acropora cervicornis","Acroporidae",NA,NA,0.317018101048112,"colonial",0.230448921378274,0.0511525224473813,"branching_open",1.89661860384575,"atlantic",NA,1,1.39794000867204,NA,NA,0.23654871183558,NA,0.412989240945958,"zooxanthellate",2.04532297878666,"Acropora","cervicornis"
"30","Acropora chesterfieldensis","Acroporidae",NA,NA,NA,"colonial",0,NA,"branching_closed",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","chesterfieldensis"
"31","Acropora clathrata","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"tables_or_plates",NA,"pacific",NA,0.711807229041191,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","clathrata"
"32","Acropora convexa","Acroporidae",NA,NA,NA,"colonial",0.0413926851582251,NA,"corymbose",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","convexa"
"33","Acropora cophodactyla","Acroporidae",NA,NA,NA,"colonial",0.113943352306837,NA,"digitate",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","cophodactyla"
"34","Acropora copiosa","Acroporidae",NA,NA,NA,"colonial",0.0413926851582251,NA,"branching_open",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","copiosa"
"35","Acropora cylindrica","Acroporidae",NA,NA,NA,"colonial",0.204119982655925,NA,"branching_open",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",2,"Acropora","cylindrica"
"36","Acropora cytherea","Acroporidae",NA,NA,NA,"colonial",0,NA,"tables_or_plates",1.77615615842192,"pacific",2.73479982958885,0.7103994661168,1.86746748785905,2.77815125038364,NA,NA,NA,NA,"zooxanthellate",2.47712125471966,"Acropora","cytherea"
"37","Acropora dendrum","Acroporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"corymbose",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",2,"Acropora","dendrum"
"38","Acropora derawanensis","Acroporidae",NA,NA,NA,"colonial",0,NA,"branching_open",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",2,"Acropora","derawanensis"
"39","Acropora desalwii","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"corymbose",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.47712125471966,"Acropora","desalwii"
"40","Acropora digitifera","Acroporidae",NA,NA,NA,"colonial",0.204119982655925,NA,"digitate",1.57518784492766,"pacific",NA,0.936178509361589,NA,NA,NA,0.181843587944773,0.278753600952829,NA,"zooxanthellate",2,"Acropora","digitifera"
"41","Acropora divaricata","Acroporidae",NA,NA,NA,"colonial",0.0413926851582251,NA,"tables_or_plates",1.61804809671209,"pacific",2.79379038469082,1.23929947912689,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","divaricata"
"42","Acropora donei","Acroporidae",NA,NA,NA,"colonial",0.146128035678238,NA,"branching_open",NA,"pacific",NA,0.977723605288848,NA,NA,NA,NA,NA,NA,"zooxanthellate",2.47712125471966,"Acropora","donei"
"43","Acropora downingi","Acroporidae",NA,NA,NA,"colonial",0,NA,"tables_or_plates",NA,"pacific",NA,1.14612803567824,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","downingi"
"44","Acropora echinata","Acroporidae",NA,NA,NA,"colonial",0,NA,"branching_open",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",2.17609125905568,"Acropora","echinata"
"45","Acropora efflorescens","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"tables_or_plates",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",2.30102999566398,"Acropora","efflorescens"
"46","Acropora elegans","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"tables_or_plates",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acropora","elegans"
