"","X.1","X","master_species","family_molecules","Age.at.maturity","Calcification.rate","Chlorophyll.a","Coloniality","Corallite.width.maximum","Gross.photosynthesis","Growth.form.typical","Growth.rate","Ocean.basin","Oocyte.size.at.maturity","Polyp.fecundity","Polyps.per.area","Propagule.size.on.release","Protein.biomass","Skeletal.density","Tissue.thickness","Total.biomass","Zooxanthellate","Colony.maximum.diameter","Genus","Species","Genus_molecules","Species_molecules"
"1",1,1,"Acanthastrea brevis","Lobophylliidae",NA,NA,NA,"colonial",1.39794000867204,NA,"massive",NA,"pacific",NA,NA,-0.377785977033705,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acanthastrea","brevis","Acanthastrea","brevis"
"2",2,2,"Acanthastrea echinata","Lobophylliidae",NA,NA,NA,"colonial",1.35218251811136,NA,"massive",NA,"pacific",2.64640372622307,3,-0.299296282854981,NA,NA,NA,NA,NA,"zooxanthellate",2,"Acanthastrea","echinata","Acanthastrea","echinata"
"3",3,3,"Acanthastrea hemprichi","Lobophylliidae",NA,NA,NA,"colonial",1.27415784926368,NA,"massive",NA,"pacific",NA,NA,-0.168130225719498,NA,NA,NA,NA,NA,"zooxanthellate",2,"Acanthastrea","hemprichi","Acanthastrea","hemprichi"
"4",4,4,"Acanthastrea ishigakiensis","Lobophylliidae",NA,NA,NA,"colonial",1.32221929473392,NA,"massive",NA,"pacific",NA,NA,-0.504455662453552,NA,NA,NA,NA,NA,"zooxanthellate",1.69897000433602,"Acanthastrea","ishigakiensis","Acanthastrea","ishigakiensis"
"5",5,5,"Acanthastrea regularis","Lobophylliidae",NA,NA,NA,"colonial",0.959041392321094,NA,"massive",NA,"pacific",NA,NA,0.320769228338686,NA,NA,NA,NA,NA,"zooxanthellate",1.47712125471966,"Acanthastrea","regularis","Acanthastrea","regularis"
"6",6,6,"Acanthastrea rotundoflora","Lobophylliidae",NA,NA,NA,"colonial",1.16731733474818,NA,"encrusting",NA,"pacific",NA,NA,-0.424812155072339,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Acanthastrea","rotundoflora","Acanthastrea","rotundoflora"
"7",7,7,"Acanthastrea subechinata","Lobophylliidae",NA,NA,NA,"colonial",1.24797326636181,NA,"massive",NA,"pacific",NA,NA,-0.193820026016113,NA,NA,NA,NA,NA,"zooxanthellate",1.30102999566398,"Acanthastrea","subechinata","Acanthastrea","subechinata"
"8",8,8,"Acropora abrolhosensis","Acroporidae",NA,NA,NA,"colonial",0.176091259055681,NA,"branching_open",1.73351658781825,"pacific",2.55468330521872,1.09501182369395,1.50395373712906,2.77102178493784,NA,0.179149040683456,NA,0.57813711675756,"zooxanthellate",3,"Acropora","abrolhosensis","Acropora","abrolhosensis"
"9",9,9,"Acropora abrotanoides","Acroporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"branching_open",2.10551018476997,"pacific",2.82020145948564,0.957303057103749,1.65269069403757,2.77102178493784,NA,0.179149040683456,NA,0.459744858567442,"zooxanthellate",NA,"Acropora","abrotanoides","Acropora","abrotanoides"
"10",10,10,"Acropora aculeus","Acroporidae",0.539596477563643,NA,NA,"colonial",0,NA,"corymbose",1.53089221776038,"pacific",2.55133957695099,0.844786802159205,2.20641199008406,2.77102178493784,NA,0.161109647366959,NA,NA,"zooxanthellate",1.60205999132796,"Acropora","aculeus","Acropora","aculeus"
"11",11,11,"Acropora acuminata","Acroporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"branching_open",1.73351658781825,"pacific",2.5528431187628,0.957303057103749,1.65269069403757,2.77102178493784,NA,0.179149040683456,NA,0.459744858567442,"zooxanthellate",2.30102999566398,"Acropora","acuminata","Acropora","acuminata"
"12",12,12,"Acropora akajimensis","Acroporidae",0.600895037705415,NA,NA,"colonial",0.204119982655925,NA,"branching_closed",1.70390740347512,"pacific",2.55521553172396,1.13484053526131,1.34437292348761,2.77102178493784,NA,-0.0155513927916768,NA,0.780938923312703,"zooxanthellate",NA,"Acropora","akajimensis","Acropora","akajimensis"
"13",13,13,"Acropora anthocercis","Acroporidae",0.601482563537136,NA,NA,"colonial",0.113943352306837,NA,"tables_or_plates",1.48303340020156,"pacific",2.55350320284629,1.00669988028481,1.78198043821709,2.77102178493784,NA,0.145537485080665,NA,-0.054442117981245,"zooxanthellate",2,"Acropora","anthocercis","Acropora","anthocercis"
"14",14,14,"Acropora appressa","Acroporidae",0.539596477563643,NA,NA,"colonial",0.0355518499742737,NA,"corymbose",1.53089221776038,"pacific",2.55201465717,0.895305848210205,2.15184720556378,2.77102178493784,NA,0.161109647366959,NA,NA,"zooxanthellate",NA,"Acropora","appressa","Acropora","appressa"
"15",15,15,"Acropora arabensis","Acroporidae",NA,NA,NA,"colonial",0.301029995663981,NA,"digitate",1.48390826233877,"pacific",2.55705571817989,1.27254930185151,1.20547907788242,2.77102178493784,NA,0.153064731507295,NA,0.378119943887077,"zooxanthellate",NA,"Acropora","arabensis","Acropora","arabensis"
"16",16,16,"Acropora arafura","Acroporidae",0.600895037705415,NA,NA,NA,0.0413926851582251,NA,"branching_closed",1.70390740347512,NA,NA,NA,1.59412588795933,NA,NA,-0.0155513927916768,NA,0.58213952558353,"zooxanthellate",NA,"Acropora","arafura","Acropora","arafura"
"17",17,17,"Acropora aspera","Acroporidae",NA,NA,NA,"colonial",0.255272505103306,NA,"branching_open",1.68594406374029,"pacific",2.5810197581913,1.05499586152914,1.38242679459971,2.77102178493784,NA,-0.0362121726544447,0,0.674870635151644,"zooxanthellate",NA,"Acropora","aspera","Acropora","aspera"
"18",18,18,"Acropora austera","Acroporidae",NA,NA,NA,"colonial",0.176091259055681,NA,"branching_open",1.79865064544527,"pacific",2.73639650227664,1.09501182369395,1.50395373712906,2.77102178493784,NA,0.15836249209525,NA,0.57813711675756,"zooxanthellate",NA,"Acropora","austera","Acropora","austera"
"19",19,19,"Acropora awi","Acroporidae",NA,NA,NA,"colonial",0,NA,"branching_open",1.73351658781825,"pacific",2.55133957695099,0.844786802159205,1.77421763656691,2.77102178493784,NA,0.179149040683456,NA,0.363011340173359,"zooxanthellate",2.17609125905568,"Acropora","awi","Acropora","awi"
"20",20,20,"Acropora azurea","Acroporidae",0.600895037705415,NA,NA,"colonial",0.146128035678238,NA,"branching_closed",1.70390740347512,"pacific",2.55411434525139,1.05243419516725,1.43337864591945,2.77102178493784,NA,-0.0155513927916768,NA,0.71009178021141,"zooxanthellate",1.17609125905568,"Acropora","azurea","Acropora","azurea"
"21",21,21,"Acropora batunai","Acroporidae",0.601482563537136,NA,NA,"colonial",-0.301029995663981,NA,"tables_or_plates",1.48303340020156,"pacific",2.5456234357221,0.417024302466899,2.41887925867423,2.77102178493784,NA,0.145537485080665,NA,-0.561403475533582,"zooxanthellate",2.09691001300806,"Acropora","batunai","Acropora","batunai"
"22",22,22,"Acropora bifurcata","Acroporidae",0.601482563537136,NA,NA,"colonial",-0.0457574905606751,NA,"tables_or_plates",1.48303340020156,"pacific",2.55047070580163,0.779765578946187,2.02708841670703,2.77102178493784,NA,0.145537485080665,NA,-0.249544180555297,"zooxanthellate",NA,"Acropora","bifurcata","Acropora","bifurcata"
"23",23,23,"Acropora branchi","Acroporidae",0.601482563537136,NA,NA,"colonial",0.0413926851582251,NA,"tables_or_plates",1.48303340020156,"pacific",2.52354109313383,1.07918124604762,1.89333080458707,2.77102178493784,NA,0.145537485080665,NA,-0.143075243189986,"zooxanthellate",NA,"Acropora","branchi","Acropora","branchi"
"24",24,24,"Acropora bushyensis","Acroporidae",NA,NA,NA,"colonial",0.176091259055681,NA,"digitate",1.48390826233877,"pacific",2.63856471095057,0.57978359661681,1.39723436617825,2.77102178493784,NA,0.153064731507295,NA,0.225485776339836,"zooxanthellate",1.39794000867204,"Acropora","bushyensis","Acropora","bushyensis"
"25",25,25,"Acropora cardenae","Acroporidae",NA,NA,NA,"colonial",0.0100136352378218,NA,"branching_open",1.73351658781825,"pacific",2.55152972196663,0.859016140437902,1.75884876407753,2.77102178493784,NA,0.179149040683456,NA,0.375244718868699,"zooxanthellate",NA,"Acropora","cardenae","Acropora","cardenae"
"26",26,26,"Acropora carduus","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"branching_open",1.73351658781825,"pacific",2.55047070580163,0.779765578946187,1.8444459823334,2.77102178493784,NA,0.179149040683456,NA,0.307110691020201,"zooxanthellate",NA,"Acropora","carduus","Acropora","carduus"
"27",27,27,"Acropora caroliniana","Acroporidae",0.601482563537136,NA,NA,"colonial",0,NA,"tables_or_plates",1.48303340020156,"pacific",2.55133957695099,0.844786802159205,1.95686007094054,2.77102178493784,NA,0.145537485080665,NA,-0.193643531402139,"zooxanthellate",1.69897000433602,"Acropora","caroliniana","Acropora","caroliniana"
"28",28,28,"Acropora cerealis","Acroporidae",0.539895235286592,NA,NA,"colonial",-0.0969100130080564,NA,"corymbose",1.41857747223964,"pacific",2.81690383937566,0.998549933604767,2.35514894699257,2.77102178493784,NA,0.161109647366959,NA,NA,"zooxanthellate",1.69897000433602,"Acropora","cerealis","Acropora","cerealis"
"29",29,29,"Acropora cervicornis","Acroporidae",NA,NA,0.317018101048112,"colonial",0.230448921378274,0.0511525224473813,"branching_open",1.89661860384575,"atlantic",2.58375916225365,1,1.39794000867204,2.77102178493784,NA,0.23654871183558,NA,0.412989240945958,"zooxanthellate",2.04532297878666,"Acropora","cervicornis","Acropora","cervicornis"
"30",30,30,"Acropora chesterfieldensis","Acroporidae",0.600895037705415,NA,NA,"colonial",0,NA,"branching_closed",1.70390740347512,"pacific",2.55133957695099,0.844786802159205,1.65765515431279,2.77102178493784,NA,-0.0155513927916768,NA,0.531571237371378,"zooxanthellate",NA,"Acropora","chesterfieldensis","Acropora","chesterfieldensis"
"31",31,31,"Acropora clathrata","Acroporidae",0.601482563537136,NA,NA,"colonial",-0.0457574905606751,NA,"tables_or_plates",1.48303340020156,"pacific",2.56153462198803,0.711807229041191,2.02708841670703,2.77102178493784,NA,0.145537485080665,NA,-0.249544180555297,"zooxanthellate",NA,"Acropora","clathrata","Acropora","clathrata"
"32",32,32,"Acropora convexa","Acroporidae",0.539596477563643,NA,NA,"colonial",0.0413926851582251,NA,"corymbose",1.53089221776038,"pacific",2.55212556651222,0.903605653194978,2.14288272373059,2.77102178493784,NA,0.161109647366959,NA,NA,"zooxanthellate",NA,"Acropora","convexa","Acropora","convexa"
"33",33,33,"Acropora cophodactyla","Acroporidae",NA,NA,NA,"colonial",0.113943352306837,NA,"digitate",1.48390826233877,"pacific",2.55350320284629,1.00669988028481,1.49261863289266,2.77102178493784,NA,0.153064731507295,NA,0.149561413176528,"zooxanthellate",NA,"Acropora","cophodactyla","Acropora","cophodactyla"
"34",34,34,"Acropora copiosa","Acroporidae",NA,NA,NA,"colonial",0.0413926851582251,NA,"branching_open",1.73351658781825,"pacific",2.55212556651222,0.903605653194978,1.71068837021345,2.77102178493784,NA,0.179149040683456,NA,0.413579628385512,"zooxanthellate",NA,"Acropora","copiosa","Acropora","copiosa"
"35",35,35,"Acropora cylindrica","Acroporidae",NA,NA,NA,"colonial",0.204119982655925,NA,"branching_open",1.73351658781825,"pacific",2.68230558491524,0.35421004613706,1.46093540574173,3.32446711066492,NA,0.179149040683456,NA,0.612379026114684,"zooxanthellate",2,"Acropora","cylindrica","Acropora","cylindrica"
"36",36,36,"Acropora cytherea","Acroporidae",0.600702855695709,NA,NA,"colonial",0,NA,"tables_or_plates",1.77615615842192,"pacific",2.73479982958885,0.7103994661168,1.86746748785905,2.77815125038364,NA,0.145537485080665,NA,-0.193643531402139,"zooxanthellate",2.47712125471966,"Acropora","cytherea","Acropora","cytherea"
"37",37,37,"Acropora dendrum","Acroporidae",0.539596477563643,NA,NA,"colonial",0.0791812460476248,NA,"corymbose",1.53089221776038,"pacific",2.5528431187628,0.957303057103749,2.08488504755471,2.77102178493784,NA,0.161109647366959,NA,NA,"zooxanthellate",2,"Acropora","dendrum","Acropora","dendrum"
"38",38,38,"Acropora derawanensis","Acroporidae",NA,NA,NA,"colonial",0,NA,"branching_open",1.73351658781825,"pacific",2.55133957695099,0.844786802159205,1.77421763656691,2.77102178493784,NA,0.179149040683456,NA,0.363011340173359,"zooxanthellate",2,"Acropora","derawanensis","Acropora","derawanensis"
