"","species","range","lat_poleward","abund","bleach","restore","cat_growthrate","cat_corallitesize","cat_colonydiameter","cat_skeletaldensity","cat_colonyheight","cat_SA_vol","cat_spacesize","clipperton","species_n"
"1","Acanthastrea echinata",0.671382029544341,0.899581309517908,0.5,0.5786,0.833333333333333,1,4,2,4,4,1,1,0,"Species 1"
"2","Acanthastrea hemprichi",0.310946024910733,0.678425805261105,0.5,0.7077,0.833333333333333,1,4,2,4,4,1,1,0,"Species 2"
"3","Acanthastrea regularis",0.161215388377268,0.606922923090481,0.5,0.7077,0.833333333333333,1,3,1,4,4,1,1,0,"Species 3"
"4","Acanthastrea rotundoflora",0.3101885282379,0.592340746149867,0.5,0.7077,0.5,1,4,1,4,1,2,1,0,"Species 4"
"5","Acropora abrolhosensis",0.265173031079949,0.712225839318536,1,0.6083,1,5,1,5,2,5,4,5,0,"Species 5"
"6","Acropora abrotanoides",0.658581796431476,0.837085124723632,1,0.8,1,5,1,4,2,5,4,5,0,"Species 6"
"7","Acropora aculeus",0.489850343879118,0.779680815080638,1,0.8231,0.333333333333333,4,1,1,2,3,5,3,0,"Species 7"
"8","Acropora acuminata",0.445342429932358,0.86468761503331,0.5,0.6425,1,5,1,3,2,5,4,5,0,"Species 8"
"9","Acropora akajimensis",0.0730354646435255,0.297585903423303,0.5,0.6083,1,5,1,3,2,4,3,4,0,"Species 9"
"10","Acropora anthocercis",0.525202501187819,0.874758242905998,1,1,0.333333333333333,4,1,2,2,3,5,4,0,"Species 10"
"11","Acropora aspera",0.435483577597204,0.878998507493712,1,0.5925,1,4,1,3,1,5,4,5,0,"Species 11"
"12","Acropora austera",0.630442772335682,0.851316374991497,0.5,0.7674,1,5,1,3,2,5,4,5,0,"Species 12"
"13","Acropora azurea",0.0469242630950613,0.610230979497409,0.5,0.6083,1,5,1,1,2,4,3,4,0,"Species 13"
"14","Acropora bushyensis",0.0453474561815908,0.80022154813875,0.1,0.6083,0.333333333333333,4,1,1,3,3,4,3,0,"Species 14"
"15","Acropora cardenae",0.039707167831428,0.756606857552693,1,0.6083,1,5,1,3,2,5,4,5,0,"Species 15"
"16","Acropora carduus",0.393625473383543,0.637824296154603,1,0.7231,0.166666666666667,5,1,3,2,4,4,5,0,"Species 16"
"17","Acropora caroliniana",0.337084378555289,0.810794806693902,0.5,0.6083,0.333333333333333,4,1,1,2,3,5,4,0,"Species 17"
"18","Acropora cerealis",0.597691097495939,0.808803879894104,1,0.5137,0.333333333333333,3,1,1,2,3,5,3,0,"Species 18"
"19","Acropora chesterfieldensis",0.1787777316372,0.813465887054636,0.1,0.6083,1,5,1,3,2,4,3,4,0,"Species 19"
"20","Acropora clathrata",0.677911492983389,0.855447942481479,1,0.6701,0.333333333333333,4,1,3,2,3,5,4,0,"Species 20"
"21","Acropora cytherea",0.768792661441035,0.838159338652013,1,0.5752,0.333333333333333,5,1,4,2,3,5,4,0,"Species 21"
"22","Acropora dendrum",0.382158079752988,0.862037449881396,0.1,0.6083,0.333333333333333,4,1,2,2,3,5,3,0,"Species 22"
"23","Acropora digitifera",0.608348165431818,0.822792567259198,1,0.6816,0.333333333333333,4,1,2,3,3,4,3,0,"Species 23"
"24","Acropora divaricata",0.522947439426032,0.828115334656765,1,0.7194,0.333333333333333,4,1,3,2,3,5,4,0,"Species 24"
"25","Acropora donei",0.328343751860896,0.862037449881396,0.5,0.6083,1,5,1,4,2,5,4,5,0,"Species 25"
"26","Acropora echinata",0.346872850815161,0.699331339205865,0.5,0.285,0.166666666666667,5,1,3,2,4,4,5,0,"Species 26"
"27","Acropora elseyi",0.526809095752673,0.713628195958271,1,0.7457,0.166666666666667,5,1,1,2,4,4,5,0,"Species 27"
"28","Acropora exquisita",0.306769032192738,0.745854786628093,0.5,0.6083,1,5,1,3,2,4,3,4,0,"Species 28"
"29","Acropora fastigata",0.0832035555441036,0.612962256536614,0.1,0.6083,1,5,1,3,2,4,3,4,0,"Species 29"
"30","Acropora florida",0.522820897630885,0.851316374991497,1,0.5431,1,5,1,5,2,5,4,5,0,"Species 30"
"31","Acropora gemmifera",0.61903154369611,0.845076392269081,1,0.2893,0.333333333333333,3,1,2,2,3,4,3,0,"Species 31"
"32","Acropora glauca",0.375373425500632,0.862295015733486,0.1,0.7565,0.333333333333333,4,1,3,2,3,5,4,0,"Species 32"
"33","Acropora grandis",0.530965462047153,0.808801214256784,1,0.7577,1,5,1,5,2,5,4,5,0,"Species 33"
"34","Acropora granulosa",0.547028607878361,0.781796090611854,1,0.6083,0.333333333333333,2,1,2,2,3,5,4,0,"Species 34"
"35","Acropora horrida",0.662391688874579,0.845724320864627,0.5,0.806,1,5,1,4,1,4,3,4,0,"Species 35"
"36","Acropora humilis",0.713508016301182,0.870517978564464,1,0.4886,0.333333333333333,3,1,2,2,3,4,3,0,"Species 36"
"37","Acropora hyacinthus",0.800761718928009,0.87528385474006,1,0.6429,0.333333333333333,4,1,4,2,3,5,4,0,"Species 37"
"38","Acropora intermedia",0.617184767245451,0.874758242905998,1,0.6083,1,5,1,5,2,5,4,5,0,"Species 38"
"39","Acropora kimbeensis",0.0900592711573378,0.611861850530558,1,0.6083,1,5,1,3,2,4,3,4,0,"Species 39"
"40","Acropora kirstyae",0.282540807726284,0.619956600096071,0.5,0.6083,1,5,1,3,2,4,3,4,0,"Species 40"
"41","Acropora latistella",0.723245664890268,0.8581023633475,1,0.7473,0.333333333333333,4,1,3,2,3,5,3,0,"Species 41"
"42","Acropora listeri",0.474398222730973,0.757722886881732,0.5,0.8154,1,5,1,1,2,4,3,4,0,"Species 42"
"43","Acropora longicyathus",0.543555947132348,0.812327484884843,1,0.7412,0.166666666666667,5,1,3,2,4,4,5,0,"Species 43"
"44","Acropora loripes",0.526575480298614,0.770800790375153,1,0.9062,0.333333333333333,4,1,1,2,3,5,3,0,"Species 44"
"45","Acropora loveli",0.22933962228054,0.791318020626192,0.1,0.6083,1,5,1,3,2,5,4,5,0,"Species 45"
"46","Acropora lutkeni",0.411735051255821,0.810045126970054,1,0.8627,1,5,1,5,2,5,4,5,0,"Species 46"
"47","Acropora microclados",0.382933220420546,0.856716733409625,0.5,1,0.333333333333333,4,1,2,2,3,5,3,0,"Species 47"
"48","Acropora microphthalma",0.711552082385646,0.850457020096673,1,0.9274,1,5,1,4,2,5,4,5,0,"Species 48"
"49","Acropora millepora",0.447312513250221,0.83127494155392,1,0.6581,0.333333333333333,4,1,3,2,3,5,3,0,"Species 49"
"50","Acropora monticulosa",0.501348742151924,0.840836127927547,1,0.5477,0.333333333333333,4,1,4,3,3,4,3,0,"Species 50"
"51","Acropora multiacuta",0.162222502501529,0.612962256536614,0.5,0.6083,1,5,2,3,2,4,3,4,0,"Species 51"
"52","Acropora muricata",0.715220991671019,0.850534177348029,1,0.707,1,5,1,5,3,5,4,5,0,"Species 52"
"53","Acropora nana",0.476296417105508,0.8505000572888,1,0.6083,1,5,1,1,2,4,3,4,0,"Species 53"
"54","Acropora nasuta",0.680260079537475,0.833284082721473,1,0.4106,0.333333333333333,4,1,2,2,3,5,3,0,"Species 54"
"55","Acropora palmerae",0.375957133597102,0.874758242905998,0.5,0.6083,0.5,2,1,3,4,1,2,1,0,"Species 55"
"56","Acropora paniculata",0.443127926969452,0.618222247042858,0.5,0.6083,0.333333333333333,4,1,3,2,3,5,4,0,"Species 56"
"57","Acropora polystoma",0.44316804842506,0.749351958530912,0.5,0.6083,0.333333333333333,4,1,2,2,3,5,3,0,"Species 57"
"58","Acropora prostrata",0.198313744191005,0.60338132160131,0.5,0.6083,0.333333333333333,4,1,3,2,3,5,3,0,"Species 58"
"59","Acropora pulchra",0.604811954289378,0.809284341080517,0.5,0.916,1,5,1,5,4,5,4,5,0,"Species 59"
"60","Acropora robusta",0.687684616742561,0.83010499707595,1,0.6396,1,3,1,2,2,5,4,5,0,"Species 60"
"61","Acropora rosaria",0.394367931377274,0.699331339205865,1,0.6083,0.333333333333333,4,2,3,2,3,5,3,0,"Species 61"
"62","Acropora samoensis",0.622593332955771,0.857797185293682,0.5,0.8846,0.333333333333333,4,1,2,3,3,4,3,0,"Species 62"
"63","Acropora sarmentosa",0.427380629173979,0.857797185293682,1,0.8781,0.333333333333333,4,2,1,2,3,5,3,0,"Species 63"
"64","Acropora secale",0.618993922413049,0.860473572064874,1,0.6897,1,5,1,2,2,4,3,4,0,"Species 64"
"65","Acropora selago",0.514413009934836,0.688186609662887,1,0.8769,0.333333333333333,4,1,2,2,3,5,3,0,"Species 65"
"66","Acropora solitaryensis",0.377773270576499,0.874167052159559,0.1,0.7012,0.333333333333333,3,1,4,2,3,5,4,0,"Species 66"
"67","Acropora subglabra",0.361030484677184,0.733466748497629,1,0.6425,0.166666666666667,5,1,3,2,4,4,5,0,"Species 67"
"68","Acropora subulata",0.493952078142705,0.862037449881396,1,0.7043,0.333333333333333,4,1,4,2,3,5,4,0,"Species 68"
"69","Acropora tenuis",0.651665715514534,0.874758242905998,0.5,0.6215,0.333333333333333,4,1,3,2,3,5,3,0,"Species 69"
"70","Acropora torihalimeda",0.0710703912504588,0.608532649967386,0.5,0.6083,1,5,1,3,2,4,3,4,0,"Species 70"
"71","Acropora torihalimeda",0.0710703912504588,0.608532649967386,0.5,0.6083,1,5,1,3,2,4,3,4,0,"Species 71"
"72","Acropora torihalimeda",0.0710703912504588,0.608532649967386,0.5,0.6083,1,5,1,3,2,4,3,4,0,"Species 72"
"73","Acropora torihalimeda",0.0710703912504588,0.608532649967386,0.5,0.6083,1,5,1,3,2,4,3,4,0,"Species 73"
"74","Acropora torresiana",0.0172612976403157,0.616102114872091,0.1,0.6083,1,5,1,3,2,4,3,4,0,"Species 74"
"75","Acropora tortuosa",0.236045800856123,0.807485110235642,0.1,0.6083,1,5,1,3,2,4,3,4,0,"Species 75"
"76","Acropora valenciennesi",0.523039273933044,0.86468761503331,1,0.6718,1,5,1,4,2,5,4,5,0,"Species 76"
"77","Acropora valida",0.847089912906751,0.844065252125133,1,0.8365,0.333333333333333,4,1,1,2,3,5,3,0,"Species 77"
"78","Acropora vaughani",0.458592052185788,0.746011386419984,0.5,0.6083,1,5,1,3,2,4,3,4,0,"Species 78"
"79","Acropora verweyi",0.482953517489216,0.815033272690347,1,0.6083,0.333333333333333,4,1,3,2,3,5,3,0,"Species 79"
"80","Acropora willisae",0.418218235853025,0.862037449881396,0.5,1,0.333333333333333,4,1,2,2,3,5,3,0,"Species 80"
"81","Acropora yongei",0.395909388430436,0.834552030729211,1,0.8404,1,5,1,4,2,4,3,4,0,"Species 81"
"82","Alveopora allingi",0.558277889751929,0.861085616228946,0.5,0.7469,0.166666666666667,4,2,2,3,5,1,5,0,"Species 82"
"83","Alveopora catalai",0.301928866629667,0.71147294152939,0.5,0.7469,1,5,2,5,2,4,3,4,0,"Species 83"
"84","Alveopora fenestrata",0.478989330826851,0.848758532519074,0.5,0.7469,0.833333333333333,3,2,2,3,4,1,1,0,"Species 84"
"85","Alveopora gigas",0.0746626096796521,0.708922997250737,0.5,0.7469,0.166666666666667,4,3,2,4,5,1,5,0,"Species 85"
"86","Alveopora marionensis",0.21893741705965,0.827693184163645,0.1,0.7469,0.833333333333333,3,2,2,3,3,1,1,0,"Species 86"
"87","Alveopora spongiosa",0.624682746863347,0.839505843690733,0.5,0.7469,0.166666666666667,4,1,3,3,5,1,5,0,"Species 87"
"88","Alveopora tizardi",0.544373829161361,0.847837984409034,0.5,0.7469,0.5,2,1,1,4,1,2,1,0,"Species 88"
"89","Alveopora verrilliana",0.511515027338291,0.722147759192424,0.5,0.7469,0.833333333333333,3,2,2,3,3,1,1,0,"Species 89"
"95","Astrea curta",1,0.880361652332742,1,0.8975,0.833333333333333,1,3,2,3,4,1,1,0,"Species 90"
"96","Astreopora cucullata",0.366484336211405,0.866483794969125,0.1,0.7662,0.833333333333333,3,2,2,3,4,1,1,0,"Species 91"
"97","Astreopora expansa",0.477872804713583,0.714854684787848,0.5,0.7662,0.666666666666667,4,2,2,5,2,4,2,0,"Species 92"
"98","Astreopora gracilis",0.42550988212691,0.871375056786408,1,0.7662,0.833333333333333,3,1,2,3,4,1,1,0,"Species 93"
"99","Astreopora incrustans",0.147815715344134,0.618496831073958,0.1,0.7662,0.5,2,1,2,4,1,2,1,0,"Species 94"
"100","Astreopora listeri",0.506883675561225,0.817571179011914,0.5,0.7662,0.833333333333333,3,1,2,3,4,1,1,0,"Species 95"
"101","Astreopora moretonensis",0.0743159903777568,0.814147295641343,0.1,0.7662,0.666666666666667,4,2,2,5,2,4,2,0,"Species 96"
