observation_id,access,user_id,specie_id,specie_name,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
91775,1,54,3,Acanthastrea brevis,1,Global estimate,,,605,,99502,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-28.39133524,raw_value,,,,,
91773,1,54,3,Acanthastrea brevis,1,Global estimate,,,605,,99500,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,29.25917688,raw_value,,,,,
91778,1,54,4,Acanthastrea echinata,1,Global estimate,,,605,,99505,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,36.03063196,raw_value,,,,,
91780,1,54,4,Acanthastrea echinata,1,Global estimate,,,605,,99507,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-36.54160431,raw_value,,,,,
91788,1,54,6,Acanthastrea hemprichi,1,Global estimate,,,605,,99515,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,36.04402607,raw_value,,,,,
91790,1,54,6,Acanthastrea hemprichi,1,Global estimate,,,605,,99517,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-27.55811739,raw_value,,,,,
91798,1,54,8,Acanthastrea ishigakiensis,1,Global estimate,,,605,,99525,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,36.78057671,raw_value,,,,,
91800,1,54,8,Acanthastrea ishigakiensis,1,Global estimate,,,605,,99527,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-27.59521638,raw_value,,,,,
91813,1,54,12,Acanthastrea regularis,1,Global estimate,,,605,,99540,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,29.11683364,raw_value,,,,,
91815,1,54,12,Acanthastrea regularis,1,Global estimate,,,605,,99542,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-24.65362171,raw_value,,,,,
91820,1,54,13,Acanthastrea rotundoflora,1,Global estimate,,,605,,99547,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-24.06128377,raw_value,,,,,
91818,1,54,13,Acanthastrea rotundoflora,1,Global estimate,,,605,,99545,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,37.05672973,raw_value,,,,,
91825,1,54,14,Acanthastrea subechinata,1,Global estimate,,,605,,99552,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-12.95321845,raw_value,,,,,
91823,1,54,14,Acanthastrea subechinata,1,Global estimate,,,605,,99550,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,19.99136173,raw_value,,,,,
91828,1,54,16,Acropora abrolhosensis,1,Global estimate,,,605,,99555,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,30.3465097,raw_value,,,,,
91830,1,54,16,Acropora abrolhosensis,1,Global estimate,,,605,,99557,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-28.93109775,raw_value,,,,,
91833,1,54,17,Acropora abrotanoides,1,Global estimate,,,605,,99560,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,31.21066413,raw_value,,,,,
91835,1,54,17,Acropora abrotanoides,1,Global estimate,,,605,,99562,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-34.0029668,raw_value,,,,,
91838,1,54,18,Acropora aculeus,1,Global estimate,,,605,,99565,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,29.08305865,raw_value,,,,,
91840,1,54,18,Acropora aculeus,1,Global estimate,,,605,,99567,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-31.67116472,raw_value,,,,,
91843,1,54,19,Acropora acuminata,1,Global estimate,,,605,,99570,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,30.75852777,raw_value,,,,,
91845,1,54,19,Acropora acuminata,1,Global estimate,,,605,,99572,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-35.12419872,raw_value,,,,,
91848,1,54,20,Acropora akajimensis,1,Global estimate,,,605,,99575,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,28.69531021,raw_value,,,,,
91850,1,54,20,Acropora akajimensis,1,Global estimate,,,605,,99577,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-12.08814169,raw_value,,,,,
91853,1,54,21,Acropora anthocercis,1,Global estimate,,,605,,99580,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,37.84199738,raw_value,,,,,
91855,1,54,21,Acropora anthocercis,1,Global estimate,,,605,,99582,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-35.53327447,raw_value,,,,,
91860,1,54,22,Acropora appressa,1,Global estimate,,,605,,99587,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-33.83191853,raw_value,,,,,
91858,1,54,22,Acropora appressa,1,Global estimate,,,605,,99585,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,18.63569726,raw_value,,,,,
91863,1,54,23,Acropora arabensis,1,Global estimate,,,605,,99590,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,31.64127018,raw_value,,,,,
