Revised species name,Original Species Name,Study,Warming Year,BI,Number of colonies,Coral Family,Growth form,Depth range (logged),Species maximum colony size (logged),Corallite size (logged),clade_A,clade_B,clade_C,clade_D,Symbiodinium diversity
Acropora eurystoma,Acropora eurystoma,Obura,1998,0.84,25,Acroporidae,digitate,3.22,3.68,0.69,0,0,0,0,NA
Isopora palifera,Acropora palifera,Marsh_Baird,1998,0.5,8,Acroporidae,branching,3.66,4.61,0.34,0,0,1,1,2
Agaricia agaricites,Agaricia agaricites,Charpentier10,2010,0.15,619,Agariciidae,laminar,4.31,5.02,1.7,0,1,1,0,2
Agaricia agaricites,Agaricia agaricites,Charpentier05,2005,0.29,413,Agariciidae,laminar,4.31,5.02,1.7,0,1,1,0,2
Agaricia humilis,Agaricia humilis,Charpentier10,2010,0.34,80,Agariciidae,encrusting,2.71,2.48,1.79,0,1,1,1,3
Agaricia humilis,Agaricia humilis,Charpentier05,2005,0.45,37,Agariciidae,encrusting,2.71,2.48,1.79,0,1,1,1,3
Agaricia lamarcki,Agaricia lamarcki,Charpentier10,2010,0.06,49,Agariciidae,laminar,4.19,2.42,2.07,0,0,1,0,1
Agaricia lamarcki,Agaricia lamarcki,Charpentier05,2005,0.1,22,Agariciidae,laminar,4.19,2.42,2.07,0,0,1,0,1
Colpophyllia natans,Colpophyllia amaranthus,Oxenford,2005,1,1,Mussidae,massive,4.01,4.9,2.56,0,1,1,1,3
Colpophyllia natans,Colpophyllia natans,Oxenford,2005,0.08,63,Mussidae,massive,4.01,4.9,2.56,0,1,1,1,3
Cyphastrea ocellina,Cyphastrea ocellina,Neilson,2014,0.13,47,Merulinidae,massive,2.71,2.71,0.92,0,0,1,0,1
Dendrogyra cylindrus,Dendrogyra cylindricus,Oxenford,2005,1,15,Meandrinidae,massive,3.18,5.3,1.44,0,1,0,0,1
Dichocoenia stokesi,Dicocoenia stokesii,Oxenford,2005,0.3,10,Meandrinidae,massive,4.25,3.54,2.42,0,1,1,0,2
Pseudodiploria clivosa,Diploria clivosa,Oxenford,2005,0.8,5,Mussidae,massive,3.66,3.56,1.76,0,1,0,1,2
Diploria labyrinthiformis,Diploria labyrinthiformis,Oxenford,2005,0.51,75,Mussidae,massive,3.76,4.79,1.76,0,1,1,1,3
Pseudodiploria strigosa,Diploria strigosa,Oxenford,2005,0.82,277,Mussidae,massive,3.66,4.25,2.31,0,1,1,0,2
Echinopora gemmacea,Echinopora gemmacea,Obura,1998,0.37,25,Merulinidae,laminar,3.91,4.38,1.44,0,0,1,1,2
