observation_id,access,user_id,specie_id,specie_name,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
106209,1,2,3,Acanthastrea brevis,1,Global estimate,,,10,,120656,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106210,1,2,4,Acanthastrea echinata,1,Global estimate,,,10,,120657,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106212,1,2,6,Acanthastrea hemprichi,1,Global estimate,,,10,,120659,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106213,1,2,8,Acanthastrea ishigakiensis,1,Global estimate,,,10,,120660,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106214,1,2,12,Acanthastrea regularis,1,Global estimate,,,10,,120661,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106215,1,2,13,Acanthastrea rotundoflora,1,Global estimate,,,10,,120662,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106216,1,2,14,Acanthastrea subechinata,1,Global estimate,,,10,,120663,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
131448,1,2,16,Acropora abrolhosensis,1,Global estimate,,,10,,172114,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,,,,,
106982,1,2,16,Acropora abrolhosensis,1,Global estimate,,,677,,121429,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106218,1,2,17,Acropora abrotanoides,1,Global estimate,,,10,,120665,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
131449,1,2,17,Acropora abrotanoides,1,Global estimate,,,677,,172115,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,,,,,
131450,1,2,18,Acropora aculeus,1,Global estimate,,,677,,172116,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,,,,,
106219,1,2,18,Acropora aculeus,1,Global estimate,,,10,,120666,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
131451,1,2,19,Acropora acuminata,1,Global estimate,,,677,,172117,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,,,,,
106220,1,2,19,Acropora acuminata,1,Global estimate,,,10,,120667,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106221,1,2,20,Acropora akajimensis,1,Global estimate,,,10,,120668,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106222,1,2,21,Acropora anthocercis,1,Global estimate,,,10,,120669,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
131452,1,2,21,Acropora anthocercis,1,Global estimate,,,677,,172118,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,,,,,
106223,1,2,22,Acropora appressa,1,Global estimate,,,10,,120670,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106987,1,2,23,Acropora arabensis,1,Global estimate,,,677,,121434,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106224,1,2,23,Acropora arabensis,1,Global estimate,,,10,,120671,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
101838,1,92,24,Acropora aspera,146,One Tree Island,-23.490371,152.075065,348,,116275,61,Skeletal density,34,g cm-3,3,Archimedes principle,0.92,mean,0.12,standard_deviation,,4,Bulk density from Table 3
101838,1,92,24,Acropora aspera,146,One Tree Island,-23.490371,152.075065,348,,116276,143,Water depth,9,m,,,7.5,median,5,range,10,,
101838,1,92,24,Acropora aspera,146,One Tree Island,-23.490371,152.075065,348,,116277,179,Skeletal micro-density,34,g cm-3,3,Archimedes principle,2.788,mean,0.037,standard_deviation,,4,From Table 3
101838,1,92,24,Acropora aspera,146,One Tree Island,-23.490371,152.075065,348,,116275,61,Skeletal density,34,g cm-3,3,Archimedes principle,0.92,mean,0.12,standard_deviation,,4,Bulk density from Table 3
101838,1,92,24,Acropora aspera,146,One Tree Island,-23.490371,152.075065,348,,116276,143,Water depth,9,m,,,7.5,median,5,range,10,,
101838,1,92,24,Acropora aspera,146,One Tree Island,-23.490371,152.075065,348,,116277,179,Skeletal micro-density,34,g cm-3,3,Archimedes principle,2.788,mean,0.037,standard_deviation,,4,From Table 3
106225,1,2,24,Acropora aspera,1,Global estimate,,,10,,120672,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106988,1,2,24,Acropora aspera,1,Global estimate,,,677,,121435,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106226,1,2,25,Acropora austera,1,Global estimate,,,10,,120673,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106989,1,2,25,Acropora austera,1,Global estimate,,,677,,121436,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
159744,1,126,25,Acropora austera,339,Maldives,2.438229,73.212891,802,787,203178,127,Calcification rate,43,g cm ^-2 yr^-1,32,Product of linear extension and bulk density,1.82,raw_value,,,,1,
159744,1,126,25,Acropora austera,339,Maldives,2.438229,73.212891,802,787,203179,60,Growth rate,38,mm yr^-1,4,Callipers,62.9,raw_value,,,,1,
159744,1,126,25,Acropora austera,339,Maldives,2.438229,73.212891,802,787,203180,61,Skeletal density,34,g cm-3,3,Archimedes principle,1.44,raw_value,,,,1,
159744,1,126,25,Acropora austera,339,Maldives,2.438229,73.212891,802,787,203181,174,Year,10,cat,,,2010-2011,raw_value,,,,,
159744,1,126,25,Acropora austera,339,Maldives,2.438229,73.212891,802,787,203182,152,Water temperature,52,ºC,,,29,raw_value,,,,,
159744,1,126,25,Acropora austera,339,Maldives,2.438229,73.212891,802,787,203183,143,Water depth,9,m,,,1,raw_value,,,,,
106227,1,2,26,Acropora awi,1,Global estimate,,,10,,120674,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106990,1,2,26,Acropora awi,1,Global estimate,,,677,,121437,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106228,1,2,27,Acropora azurea,1,Global estimate,,,10,,120675,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106991,1,2,28,Acropora batunai,1,Global estimate,,,677,,121438,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106229,1,2,28,Acropora batunai,1,Global estimate,,,10,,120676,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106230,1,2,29,Acropora bifurcata,1,Global estimate,,,10,,120677,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106231,1,2,30,Acropora branchi,1,Global estimate,,,10,,120678,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106992,1,2,32,Acropora bushyensis,1,Global estimate,,,677,,121439,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106232,1,2,32,Acropora bushyensis,1,Global estimate,,,10,,120679,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106233,1,2,33,Acropora cardenae,1,Global estimate,,,10,,120680,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106234,1,2,34,Acropora carduus,1,Global estimate,,,10,,120681,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106993,1,2,34,Acropora carduus,1,Global estimate,,,677,,121440,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106994,1,2,35,Acropora caroliniana,1,Global estimate,,,677,,121441,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106235,1,2,35,Acropora caroliniana,1,Global estimate,,,10,,120682,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106236,1,2,36,Acropora cerealis,1,Global estimate,,,10,,120683,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
106995,1,2,36,Acropora cerealis,1,Global estimate,,,677,,121442,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
99203,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113372,61,Skeletal density,34,g cm-3,5,Kobe porosimeter,2.042,mean,0.271,standard_deviation,,,From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density
99203,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113424,143,Water depth,9,m,6,Depth gauge,8,raw_value,,,,,
99203,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113425,159,Axial corallite part,1,text,,,wall,raw_value,,,,,
99203,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113426,157,Distance from tip,29,cm,4,Callipers,20,raw_value,,,,,
99205,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113374,61,Skeletal density,34,g cm-3,5,Kobe porosimeter,2.371,mean,0.084,standard_deviation,,,From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density
99205,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113430,143,Water depth,9,m,6,Depth gauge,8,raw_value,,,,,
99205,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113431,159,Axial corallite part,1,text,,,wall,raw_value,,,,,
99205,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113432,157,Distance from tip,29,cm,4,Callipers,30,raw_value,,,,,
106996,1,2,37,Acropora cervicornis,1,Global estimate,,,677,,121443,103,Substrate attachment,10,cat,22,Derived from textual description,attached,expert_opinion,"","","","",""
99199,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113368,61,Skeletal density,34,g cm-3,5,Kobe porosimeter,1.144,mean,0.162,standard_deviation,,,From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density
99199,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113412,143,Water depth,9,m,,,8,raw_value,,,,,
99199,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113413,159,Axial corallite part,1,text,,,wall,raw_value,,,,,
99199,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113414,157,Distance from tip,29,cm,4,Callipers,2.5,raw_value,,,,,
99198,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113410,159,Axial corallite part,1,text,,,calice,raw_value,,,,,
99198,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113367,61,Skeletal density,34,g cm-3,5,Kobe porosimeter,0.627,mean,0.174,standard_deviation,,,From fig. 6 using ImageJ. Mineralisation values multiplied by density of pure aragonite 2.94 to give density
99198,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113409,143,Water depth,9,m,,,8,raw_value,,,,,
99198,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113411,157,Distance from tip,29,cm,4,Callipers,10,raw_value,,,,,
99197,1,1,37,Acropora cervicornis,248,"Buck Island, St. Croix",17.790045,-64.62038,590,,113407,159,Axial corallite part,1,text,,,calice,raw_value,,,,,
