observation_id,access,user_id,specie_id,specie_name,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
148,1,5,3,Acanthastrea brevis,1,Global estimate,,,10,282,143,96,Wave exposure preference,10,cat,22,Derived from textual description,broad,group_opinion,"","","","",
157088,1,10,3,Acanthastrea brevis,1,Global estimate,,,11,,199890,92,Depth lower,9,m,,,20,group_opinion,,,,,""
149,1,5,3,Acanthastrea brevis,1,Global estimate,,,10,282,144,97,Water clarity preference,10,cat,22,Derived from textual description,clear,group_opinion,"","","","",
143,1,5,3,Acanthastrea brevis,1,Global estimate,,,10,11,138,89,Abundance world,10,cat,22,Derived from textual description,uncommon,expert_opinion,"","","","",
158302,1,10,3,Acanthastrea brevis,1,Global estimate,,,11,,201104,91,Depth upper,9,m,,,1,group_opinion,,,,,
159340,1,10,4,Acanthastrea echinata,188,"Moorea, French Polynesia",-17.53144,-149.831543,289,,202142,91,Depth upper,9,m,,,15,raw_value,,,,,
157962,1,10,4,Acanthastrea echinata,188,"Moorea, French Polynesia",-17.53144,-149.831543,289,,200764,92,Depth lower,9,m,,,40,raw_value,,,,,""
157089,1,10,4,Acanthastrea echinata,1,Global estimate,,,11,,199891,92,Depth lower,9,m,,,50,group_opinion,,,,,""
158303,1,10,4,Acanthastrea echinata,1,Global estimate,,,11,,201105,91,Depth upper,9,m,,,0,group_opinion,,,,,
229,1,5,4,Acanthastrea echinata,1,Global estimate,,,10,282,219,96,Wave exposure preference,10,cat,22,Derived from textual description,broad,group_opinion,"","","","",
223,1,5,4,Acanthastrea echinata,1,Global estimate,,,10,11,213,89,Abundance world,10,cat,22,Derived from textual description,common,expert_opinion,"","","","",
212,1,5,4,Acanthastrea echinata,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,203,65,Abundance GBR,10,cat,22,Derived from textual description,uncommon,expert_opinion,"","","","",
156945,1,14,4,Acanthastrea echinata,409,Indo-Pacific (unspecified),0.0,160.0,740,,199747,233,Life history strategy,10,cat,76,Random forests analyses (Darling et al. 2012),stress-tolerant,model_derived,,,,,
157851,1,10,4,Acanthastrea echinata,189,La Reunion,-21.125885,55.52236,288,,200653,92,Depth lower,9,m,,,40,raw_value,,,,,""
159229,1,10,4,Acanthastrea echinata,189,La Reunion,-21.125885,55.52236,288,,202031,91,Depth upper,9,m,,,10,raw_value,,,,,
230,1,5,4,Acanthastrea echinata,1,Global estimate,,,10,282,220,97,Water clarity preference,10,cat,22,Derived from textual description,both,group_opinion,"","","","",
358,1,5,6,Acanthastrea hemprichi,1,Global estimate,,,10,282,343,97,Water clarity preference,10,cat,22,Derived from textual description,both,group_opinion,"","","","",
357,1,5,6,Acanthastrea hemprichi,1,Global estimate,,,10,282,342,96,Wave exposure preference,10,cat,22,Derived from textual description,broad,group_opinion,"","","","",
158304,1,10,6,Acanthastrea hemprichi,1,Global estimate,,,11,,201106,91,Depth upper,9,m,,,2,group_opinion,,,,,
