resource_id,primary_secondary,author,year,title,resource_type,resource_ISBN,resource_journal,resource_volume_pages,resource_notes
23,primary,"Wallace, C.",1999,Staghorn Corals of the World: A revision of the genus Acropora,book,"",CSIRO Publishing,"",ISBN 0 643 06391 9
31,primary,"Ditlev, H.",2003,"New Scleractinian corals (Cnidaria: Anthozoa) from Sabah, North Borneo. Description of one new genus and eight new species, with notes on their taxonomy and ecology",paper,"",Zool. Med. Leiden,"7, 193-219",New species description. ISSN 0024-0672
38,primary,"Veron, J. E. N.",1986,Corals of Australia and the Indo-Pacific,book,"","University of Hawaii Press, Honolulu","",""
10,primary,"Veron, J. E. N.",2000,Corals of the World,book,"",Australian Institute of Marine Science and CCR Qld Pty Ltd.,"",Includes corals of the world CD ROM
24,primary,"Delbeek, J. C., Richards, Z., Lovell, E., Bass, D., Aeby, G., Reboton, C.",2009,IUCN red list (version 2009.1),technical_report,"",http://www.iucnredlist.org/,"",http://www.iucnredlist.org/
721,primary,"Dinesen, Z. D.",1980,A revision of the coral genus Leptoseris (Scleractinia: Fungiina: Agariciidae),paper,"",Memoirs of the Queensland Museum,"20, 181-235",""
195,primary,"Titlyanov, E. A., Latypov, Y. Y.",1991,Light-dependence in scleractinian distribution in the sublittoral zone of South China Sea Islands,paper,10.1007/bf00572172,Coral Reefs,"10, 133-138",""
753,primary,"Wallace, C., Dale, M. B.",1978,An Information Analysis Approach to Zonation Patterns of the Coral Genus Acropora on Outer Reef Buttresses,"",10.5479/si.00775630.220-8.95,Atoll Research Bulletin,"220, 95",""
624,primary,"Cairns, S. D.",2000, A revision of the shallow-water azooxanthellate Scleractinia of the western Atlantic,book,"",Stud. Nat. Hist. Carib. Reg,75: 231 pp.,""
288,primary,"Bouchon, C.",1981,Quantitative Study of the Scleractinian Coral Communities of a Fringing Reef of Reunion Island (Indian Ocean),paper,10.3354/meps004273,Marine Ecology Progress Series,"4, 273-288",""
289,primary,"Kühlmann, D. H. H.",1983,Composition and ecology of deep-water coral associations,paper,10.1007/bf01983856,Helgoländer Meeresuntersuchungen,"36, 183-204",""
295,primary,"Mass, T., Einbinder, S., Brokovich, E., Shashar, N., Vago, R., Erez, J., Dubinsky, Z.",2007,Photoacclimation of Stylophora pistillata to light extremes: metabolism and calcification,paper,10.3354/meps334093,Marine Ecology Progress Series,"334, 93-102",""
293,primary,"Maragos, J. E., Jokiel, P. L.",1986,Reef corals of Johnston Atoll: one of the world's most isolated reefs,paper,10.1007/bf00427935,Coral Reefs,"4, 141-150",""
294,primary,"Rooney, J., Donham, E., Montgomery, A., Spalding, H., Parrish, F., Boland, R., Fenner, D., Gove, J., Vetter, O.",2010,Mesophotic coral ecosystems in the Hawaiian Archipelago,paper,10.1007/s00338-010-0596-3,Coral Reefs,"29, 361-367",""
273,primary,"Babcock, R. C.",1991,Comparative Demography of Three Species of Scleractinian Corals Using Age- and Size-Dependent Classifications,paper,10.2307/2937107,Ecological Monographs,"61, 225",""
290,primary,"Bare, A. Y., Grimshaw, K. L., Rooney, J. J., Sabater, M. G., Fenner, D., Carroll, B.",2010,"Mesophotic communities of the insular shelf at Tutuila, American Samoa",paper,10.1007/s00338-010-0600-y,Coral Reefs,"29, 369-377",""
724,primary,"Muir, P. R., Wallace, C. C., Done, T., Aguirre, J. D.",2015,Limited scope for latitudinal extension of reef corals,"",10.1126/science.1259911,Science,"348, 1135-1138",""
864,primary,"Grottoli-Everett, A.G., Wellington, G.M.",1997,"Fish predation on the scleractinian coral Madracis mirabilis controls its depth distribution in the Florida Keys, USA",paper_without_doi,"",Marine Ecology Progress Series,"160, 291-293",""
