observation_id,access,user_id,specie_id,specie_name,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
149967,1,1,3,Acanthastrea brevis,1,Global estimate,,,281,,192237,218,Indo-Pacific faunal province,10,cat,75,Faunal break cluster analysis,Fiji-Caroline Islands,model_derived,,,,,
149966,1,1,3,Acanthastrea brevis,1,Global estimate,,,281,,192236,218,Indo-Pacific faunal province,10,cat,75,Faunal break cluster analysis,Australian,model_derived,,,,,
149965,1,1,3,Acanthastrea brevis,1,Global estimate,,,281,,192235,218,Indo-Pacific faunal province,10,cat,75,Faunal break cluster analysis,Africa-India,model_derived,,,,,
153839,1,2,3,Acanthastrea brevis,1,Global estimate,,,40,48,196109,35,Geographical region,10,cat,9,Derived from range map,Indian Ocean,expert_opinion,,,,,
91774,1,54,3,Acanthastrea brevis,1,Global estimate,,,605,,99501,138,Range size,8,km^2,10,Calculated from GIS shapefile,40290810.04,raw_value,,,,,
91772,1,54,3,Acanthastrea brevis,1,Global estimate,,,605,,99499,166,Western-most range edge,4,deg,10,Calculated from GIS shapefile,33.0761026,raw_value,,,,,
91775,1,54,3,Acanthastrea brevis,1,Global estimate,,,605,,99502,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-28.39133524,raw_value,,,,,
150,1,1,3,Acanthastrea brevis,1,Global estimate,,,10,,145,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,19122851.75,raw_value,"","","","",
149970,1,1,3,Acanthastrea brevis,1,Global estimate,,,281,,192240,218,Indo-Pacific faunal province,10,cat,75,Faunal break cluster analysis,Red Sea,model_derived,,,,,
149969,1,1,3,Acanthastrea brevis,1,Global estimate,,,281,,192239,218,Indo-Pacific faunal province,10,cat,75,Faunal break cluster analysis,Japan-Vietnam,model_derived,,,,,
149968,1,1,3,Acanthastrea brevis,1,Global estimate,,,281,,192238,218,Indo-Pacific faunal province,10,cat,75,Faunal break cluster analysis,Indonesian,model_derived,,,,,
