resource_id,primary_secondary,author,year,title,resource_type,resource_ISBN,resource_journal,resource_volume_pages,resource_notes
12,primary,"Veron, J. E. N., Pichon, M.",1976,"Scleractinia of Eastern Australia, Part I. Families Thamnasteriidae, Astrocoenidae, Pocilloporidae ","",10.1017/s0025315400028289,Australian Institute of Marine Science Monograph Series,Volume 1,ISBN 0 642 02320 4
543,primary,"Szmant, A. M.",1986,Reproductive ecology of Caribbean reef corals,paper,10.1007/bf00302170,Coral Reefs,"5, 43-53",""
635,primary,"Pallas, P. S.",1766,"Elenchus zoophytorum sistens generum adumbrationes generaliores et specierum cognitarum succintas descriptiones, cum selectis auctorum synonymis / P. S. Pallas.",book,10.5962/bhl.title.6595,,", ",http://www.biodiversitylibrary.org/item/29190#page/12/mode/1up
15,primary,"Veron, J. E. N., Wallace, C. C.",1984,Scleractinia of eastern Australia. Part V /,"",10.5962/bhl.title.60641,,", ",ISBN 0 7081 1923 9
13,primary,"Veron, J. E. N., Pichon, M., Wijsman-Best, M.",1977,"Scleractinia of Eastern Australia, Part II. Families Faviidae, Trachyphyliidae","","",Australian institute of marine science monograph series,volume 3,ISBN 0 642 02634 3
23,primary,"Wallace, C.",1999,Staghorn Corals of the World: A revision of the genus Acropora,book,"",CSIRO Publishing,"",ISBN 0 643 06391 9
31,primary,"Ditlev, H.",2003,"New Scleractinian corals (Cnidaria: Anthozoa) from Sabah, North Borneo. Description of one new genus and eight new species, with notes on their taxonomy and ecology",paper,"",Zool. Med. Leiden,"7, 193-219",New species description. ISSN 0024-0672
38,primary,"Veron, J. E. N.",1986,Corals of Australia and the Indo-Pacific,book,"","University of Hawaii Press, Honolulu","",""
686,primary,"Antonius, A.",1972,"Occurrence and distribution of stony corals (Anthozoa and Hydrozoa) in the vicinity of Santa Marta, Colombia",paper,"",Boletín de investigaciones marinas y costeras,"6, 89-103",""
63,primary,"Berkelmans, R., Willis, B. L.",1999,Seasonal and local spatial patterns in the upper thermal limits of corals on the inshore Central Great Barrier Reef,paper,10.1007/s003380050186,Coral Reefs,"18, 219-228",""
37,primary,"Wallace, C. C., Wolstenholme, J.",1998,Revision of the coral genus Acropora (Scleractinia: Astrocoeniina: Acroporidae) in Indonesia,paper,10.1111/j.1096-3642.1998.tb01302.x,Zoological Journal of the Linnean Society,"123, 199-384",""
10,primary,"Veron, J. E. N.",2000,Corals of the World,book,"",Australian Institute of Marine Science and CCR Qld Pty Ltd.,"",Includes corals of the world CD ROM
688,primary,"Oren, U., Benayahu, Y., Lubinevsky, H., Loya, Y.",2001,Colony Integration during Regeneration in the Stony Coral Favia favus,paper,10.2307/2680199,Ecology,"82, 802",""
84,primary,"Veron, J. E. N., Pichon, M.",1982,"Scleractinia of Eastern Australia, Part IV. Family Poritidae",monograph,"",Australian institute of marine science monograph series,volume 6,""
721,primary,"Dinesen, Z. D.",1980,A revision of the coral genus Leptoseris (Scleractinia: Fungiina: Agariciidae),paper,"",Memoirs of the Queensland Museum,"20, 181-235",""
841,primary,"Dana, J.D. ",1846,Zoophytes,paper_without_doi,"",U.S. Exploring Expedition 1838-1842,"7, 1-740",""
684,primary,"Hunter, C. L.",1988,"Genotypic Diversity and Population Structure of the Hawaiian Reef Coral, Porites Compressa",thesis,"",University of Hawaii,"",""
192,primary,"Hall, V. R., Hughes, T. P.",1996,Reproductive Strategies of Modular Organisms: Comparative Studies of Reef- Building Corals,paper,10.2307/2265514,Ecology,"77, 950",""
856,primary,Bernard H.,1897,Catalogue of the Madreporarian corals in the British Museum (Natural History). Volume III. The genus Montipora. The genus Anacropora,"","",British Museum (Natural History). Dept. of Zoology,"3: 1-192, pls. 1-33",""
205,primary,"Hubbard, D. K., Scaturo, D.",1985,"Growth rates of seven species of scleractinian corals from Cane Bay and Salt River, St. Croix, USVI",paper,"",Bulletin of Marine Science,"36, 325-338",""
690,primary,"Voss, J. D., Richardson, L. L.",2006,"Coral diseases near Lee Stocking Island, Bahamas: patterns and potential drivers",paper,10.3354/dao069033,Diseases of Aquatic Organisms,"69, 33-40",""
859,primary,Vaughan T.W.,1918,"Some shallow-water corals from Murray Island (Australia), Cocos-Keeling Island, and Fanning Island","","",Pap Dep Mar Biol Carnegie Inst Washington ,"9, 49-234",""
858,primary,Hoffmeister J.E.,1925,Some corals from American Samoa and the Fiji Islands,"","",Papers From The Department Of Marine Biology Of The Carnegie Institution Of Washington,"22: 1-90, pls. 1-23.",""
860,primary,"Claereboudt M.R., Al-Amir I. S. ",2004,"Calathiscus tantillus, a new genus and new species of scleractinian coral (Scleractinia, Poritidae) from the Gulf of Oman.","","",Zootaxa,"532, 1-8",""
861,primary,"Edwards, M. H., Haime, J.",1849,Recherches sur les polypiers 4eme mémoire. Monographie des Astréides,paper_without_doi,"",Annales des Sciences Naturelles,"12, 95-197",""
862,primary,"Nemenzo, F.",1960,Systematic studies on Philippine shallow water scleractinians: III. Suborder Caryophilliida ,paper_without_doi,"","Natural and Applied Science Bulletin, University of the Philippines","17, 207-213",""
273,primary,"Babcock, R. C.",1991,Comparative Demography of Three Species of Scleractinian Corals Using Age- and Size-Dependent Classifications,paper,10.2307/2937107,Ecological Monographs,"61, 225",""
546,primary,"Lasker, H. R.",1981,Phenotypic Variation in the Coral Montastrea cavernosa and Its Effects on Colony Energetics,paper,10.2307/1540889,Biological Bulletin,"160, 292",""
492,primary,"Patterson, M. R., Sebens, K. P., Olson, R. R.",1991,In situ measurements of flow effects on primary production and dark respiration in reef corals,paper,10.4319/lo.1991.36.5.0936,Limnol. Oceangr.,"36, 936-948",""
283,primary,"Madin, J. S., Connolly, S. R.",2006,Ecological consequences of major hydrodynamic disturbances on coral reefs,paper,10.1038/nature05328,Nature,"444, 477-480",""
691,primary,"Yamano, H., Sugihara, K., Nomura, K.",2011,Rapid poleward range expansion of tropical reef corals in response to rising sea surface temperatures,paper,10.1029/2010GL046474,Geophys. Res. Lett.,"38, n/a-n/a",""
346,primary,"Brandt, M. E.",2009,The effect of species and colony size on the bleaching response of reef-building corals in the Florida Keys during the 2005 mass bleaching event,paper,10.1007/s00338-009-0548-y,Coral Reefs,"28, 911-924",""
44,primary,"Cairns, S. D.",1991,A revision of the Ahermatypic Scleractinia of the Galapagos and Cocos Islands,paper,10.5479/si.00810282.504,Smithsonian Contributions to Zoology,", 1-32",""
