observation_id,access,user_id,specie_id,specie_name,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
131453,1,113,3,Acanthastrea brevis,1,Global estimate,,,748,,172119,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene,raw_value,,,,,
131459,1,113,3,Acanthastrea brevis,1,Global estimate,,,201,,172125,116,Genus fossil age,76,mya,22,Derived from textual description,33.9,raw_value,,,,,
131457,1,113,3,Acanthastrea brevis,1,Global estimate,,,10,,172123,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene,raw_value,,,,,
120239,1,49,3,Acanthastrea brevis,1,Global estimate,,,745,,144263,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,1.89528776986838,model_derived,3.29379585403512,standard_deviation,,1000,
131460,1,113,3,Acanthastrea brevis,1,Global estimate,,,201,281,172126,116,Genus fossil age,76,mya,22,Derived from textual description,23.03,raw_value,,,,,Iran 2010 - pbdb seems solid (Oligocene of Iran).
131458,1,113,3,Acanthastrea brevis,1,Global estimate,,,10,,172124,116,Genus fossil age,76,mya,22,Derived from textual description,23.8,raw_value,,,,,
131454,1,113,3,Acanthastrea brevis,1,Global estimate,,,748,,172120,116,Genus fossil age,76,mya,22,Derived from textual description,23.8,raw_value,,,,,
131456,1,113,3,Acanthastrea brevis,1,Global estimate,,,747,,172122,116,Genus fossil age,76,mya,22,Derived from textual description,23.8,raw_value,,,,,
131455,1,113,3,Acanthastrea brevis,1,Global estimate,,,747,,172121,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene,raw_value,,,,,
131465,1,113,4,Acanthastrea echinata,1,Global estimate,,,10,,172131,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene,raw_value,,,,,
120240,1,49,4,Acanthastrea echinata,1,Global estimate,,,745,,144264,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,2.47727808303031,model_derived,0.00156228619457113,standard_deviation,,1000,
131468,1,113,4,Acanthastrea echinata,1,Global estimate,,,201,281,172134,116,Genus fossil age,76,mya,22,Derived from textual description,23.03,raw_value,,,,,Iran 2010 - pbdb seems solid (Oligocene of Iran).
131463,1,113,4,Acanthastrea echinata,1,Global estimate,,,747,,172129,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene,raw_value,,,,,
131466,1,113,4,Acanthastrea echinata,1,Global estimate,,,10,,172132,116,Genus fossil age,76,mya,22,Derived from textual description,23.8,raw_value,,,,,
131461,1,113,4,Acanthastrea echinata,1,Global estimate,,,748,,172127,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene,raw_value,,,,,
131462,1,113,4,Acanthastrea echinata,1,Global estimate,,,748,,172128,116,Genus fossil age,76,mya,22,Derived from textual description,23.8,raw_value,,,,,
