resource_id,primary_secondary,author,year,title,resource_type,resource_ISBN,resource_journal,resource_volume_pages,resource_notes
10,primary,"Veron, J. E. N.",2000,Corals of the World,book,"",Australian Institute of Marine Science and CCR Qld Pty Ltd.,"",Includes corals of the world CD ROM
24,primary,"Delbeek, J. C., Richards, Z., Lovell, E., Bass, D., Aeby, G., Reboton, C.",2009,IUCN red list (version 2009.1),technical_report,"",http://www.iucnredlist.org/,"",http://www.iucnredlist.org/
31,primary,"Ditlev, H.",2003,"New Scleractinian corals (Cnidaria: Anthozoa) from Sabah, North Borneo. Description of one new genus and eight new species, with notes on their taxonomy and ecology",paper,"",Zool. Med. Leiden,"7, 193-219",New species description. ISSN 0024-0672
40,primary,"Cairns, S. D.",1999,Species richness of recent Scleractinia,paper,10.5479/si.00775630.459.1,Atoll Research Bulletin,"459, 1-46",Link to paper [PDF](http://www.sil.si.edu/digitalcollections/atollresearchbulletin/issues/00459.pdf)
64,primary,"Glynn, P. W., Colley, S. B., Ting, J. H., Mat&#x000E9;, J. L., Guzm&#x000E1;n, H. M.",2000,"Reef coral reproduction in the eastern Pacific: Costa Rica, Panam&#x000E1; and Gal&#x000E1;pagos Islands (Ecuador). IV. Agariciidae, recruitment and recovery of Pavona varians and Pavona sp.a",paper,10.1007/s002270000286,Marine Biology,"136, 785-805",sp recovery Pavona varians Pavona sp.a
119,primary,"Edmondson, C. H.",1929,Growth of Hawaiian corals /,paper,10.5962/bhl.title.58563,,", ",""
203,primary,"Harriott, V. J.",1999,Coral growth in subtropical eastern Australia,paper,10.1007/s003380050195,Coral Reefs,"18, 281-291","This paper summarises a lot of growth rate data from other studies. These data do not belong with this paper, but as original entries. However, Harriott (1999) might be added as the secondary resource for these other studies."
204,primary,"Glynn, P. W., Wellington, G. M., Birkeland, C.",1979,Coral Reef Growth in the Galapagos: Limitation by Sea Urchins,paper,10.1126/science.203.4375.47,Science,"203, 47-49",""
205,primary,"Hubbard, D. K., Scaturo, D.",1985,"Growth rates of seven species of scleractinian corals from Cane Bay and Salt River, St. Croix, USVI",paper,"",Bulletin of Marine Science,"36, 325-338",""
207,primary,"Glynn, P. W.",1985,El Nino-associated disturbance to coral reefs and post disturbance mortality by Acanthaster planci,paper,10.3354/meps026295,Marine Ecology Progress Series,"26, 295-300",Cannot find DOI
208,primary,"Knutson, D. W., Buddemeier, R. W., Smith, S. V.",1972,Coral Chronometers: Seasonal Growth Bands in Reef Corals,paper,10.1126/science.177.4045.270,Science,"177, 270-272",Cannot find DOI
214,primary,"Clark, S., Edwards, A. J.",1995,Coral transplantation as an aid to reef rehabilitation: evaluation of a case study in the Maldive Islands,paper,10.1007/s003380050017,Coral Reefs,"14, 201-213",""
216,primary,"Heyward, A. J., Collins, J. D.",1985, Growth and sexual reproduction in the scleractinian coral Montipora digitata (Dana) ,paper,10.1071/mf9850441,Mar. Freshwater Res.,"36, 441",""
217,primary,"LaJeunesse, T. C.",2001,"INVESTIGATING THE BIODIVERSITY, ECOLOGY, AND PHYLOGENY OF ENDOSYMBIOTIC DINOFLAGELLATES IN THE GENUS SYMBIODINIUM USING THE ITS REGION: IN SEARCH OF A ""SPECIES"" LEVEL MARKER",paper,10.1046/j.1529-8817.2001.01031.x,Journal of Phycology,"37, 866-880",http://www3.interscience.wiley.com/journal/118994400/abstract
218,primary,"Pochon, X., Pawlowski, J., Zaninetta, L., Rowan, R. ",2001,High genetic diversity and relative specificity among Symbiodinium -like endosymbiotic dinoflagellates in soritid foraminiferans,paper_without_doi,10.1007/s002270100674,Marine Biology,"139, 1069-1078",http://www.springerlink.com/content/cfw2cm0tl5pft83d/?p=eb8c83718d564a3fbeb70dd9b990ef5b&pi=5
219,primary,"Stat, M., Gates, R. D.",2007,Vectored introductions of marine endosymbiotic dinoflagellates into Hawaii,paper,10.1007/s10530-007-9167-0,Biol Invasions,"10, 579-583",http://www.springerlink.com/content/vwj30gt72407051w/
220,primary,"Stat, M., Pochon, X., Cowie, R., Gates, R. D.",2009,Specificity in communities of Symbiodinium in corals from Johnston Atoll,paper,10.3354/meps08080,Marine Ecology Progress Series,"386, 83-96",http://www.int-res.com/abstracts/meps/v386/p83-96/
221,primary,"La Jeunesse, T. C., Smith, R. T., Finney, J., Oxenford, H.",2009,Outbreak and persistence of opportunistic symbiotic dinoflagellates during the 2005 Caribbean mass coral 'bleaching' event,paper,10.1098/rspb.2009.1405,Proceedings of the Royal Society B: Biological Sciences,"276, 4139-4148",http://rspb.royalsocietypublishing.org/content/276/1676/4139.full
222,primary,"Bielmyer, G., Grosell, M., Bhagooli, R., Baker, A., Langdon, C., Gillette, P., Capo, T.",2010,Differential effects of copper on three species of scleractinian corals and their algal symbionts (Symbiodinium spp.),paper,10.1016/j.aquatox.2009.12.021,Aquatic Toxicology,"97, 125-133",http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T4G-4Y34SP4-2&_user=10&_coverDate=04%2F15%2F2010&_rdoc=1&_fmt=high&_orig=gateway&_origin=gateway&_sort=d&_docanchor=&view=c&_searchStrId=1676866458&_rerunOrigin=google&_acct=C000050221&_version=1
223,primary,"Camargo, C., Maldonado, J. H., Alvarado, E., Moreno Sánchez, R., Mendoza, S., Manrique, N., Mogollón, A., Osorio, J. D., Grajales, A., Sánchez, J. A.",2008,Community involvement in management for maintaining coral reef resilience and biodiversity in southern Caribbean marine protected areas,paper,10.1007/s10531-008-9555-5,Biodiversity and Conservation,"18, 935-956",http://www.springerlink.com/content/f7708u1624505402/
224,primary,"Correa, A. M. S., Brandt, M. E., Smith, T. B., Thornhill, D. J., Baker, A. C.",2009,Symbiodinium associations with diseased and healthy scleractinian corals,paper,10.1007/s00338-008-0464-6,Coral Reefs,"28, 437-448",http://www.springerlink.com/content/a3t40h5061377234/
