resource_id,primary_secondary,author,year,title,resource_type,resource_ISBN,resource_journal,resource_volume_pages,resource_notes
761,primary,"Baird, A. H., Blakeway, D. R., Hurley, T. J., Stoddart, J. A., ",2010,"Seasonality of coral reproduction in the Dampier Archipelago, northern Western Australia","",10.1007/s00227-010-1557-7,Marine Biology,"[""158"", ""275-285""]",""
64,primary,"Glynn, P. W., Colley, S. B., Ting, J. H., Mat&#x000E9;, J. L., Guzm&#x000E1;n, H. M.",2000,"Reef coral reproduction in the eastern Pacific: Costa Rica, Panam&#x000E1; and Gal&#x000E1;pagos Islands (Ecuador). IV. Agariciidae, recruitment and recovery of Pavona varians and Pavona sp.a",paper,10.1007/s002270000286,Marine Biology,"136, 785-805",sp recovery Pavona varians Pavona sp.a
543,primary,"Szmant, A. M.",1986,Reproductive ecology of Caribbean reef corals,paper,10.1007/bf00302170,Coral Reefs,"5, 43-53",""
23,primary,"Wallace, C.",1999,Staghorn Corals of the World: A revision of the genus Acropora,book,"",CSIRO Publishing,"",ISBN 0 643 06391 9
762,primary,"Stoddart, Ja, Black, R, ",1985,Cycles of gametogenesis and plantation in the coral Pocillopora damicornis,"",10.3354/meps023153,Marine Ecology Progress Series,"[""23"", ""153-164""]",""
165,primary,"Abe, N.",1939,Ecological studies on Rhizopsammia minuta var. mutsuensis ,paper_without_doi,"",Jubilee published in the commemoration of Prof. H. Yabe 60th Birthday,"1, 175-187",""
53,primary,"Glynn, P. W., Ault, J. S.",2000,A biogeographic analysis and review of the far eastern Pacific coral reef region,paper,10.1007/s003380050220,Coral Reefs,"19, 1-23",""
58,primary,"Simpson, C. J.",1985,"Mass spawning of scleractinian corals in the Dampier Archipelago and the implications for management of coral reefs in Western Australia. Rep. 244, Dep. Conserv. Environ. West. Aust. Bull., Perth",paper,"","Rep. 244, Dep. Conserv. Environ. West. Aust. Bull., Perth","",""
51,primary,"Babcock, R. C., Wills, B. L., Simpson, C. J.",1994,Mass spawning of corals on a high latitude coral reef,paper,10.1007/bf00301193,Coral Reefs,"13, 161-169",""
102,primary,"Goffredo, S., Telo, T.",1998," Hermaphroditism and brooding in the solitary coral balanophyllia Europaea (Cnidaria, anthozoa, scleractinia) ",paper,10.1080/11250009809386740,Italian Journal of Zoology,"65, 159-165",""
134,primary,"Krupp, D. A.",1983,Sexual reproduction and early development of the solitary coral Fungia scutaria (Anthozoa: Scleractinia),paper,10.1007/bf00336722,Coral Reefs,"2, 159-164",""
57,primary,"Willis, B. L., Babcock, R. C., Harrison, P. L., Oliver, J. K.",1985,Patterns in the mass spawning of corals on the Great Barrier Reef from 1981 to 1984.,conference_proceedings,"",Proc. 5th. Int. Coral Reef Symp,"4, 343-48",""
178,primary,"Knowlton, N., Mat&#x000E9;, J. L., Guzm&#x000E1;n, H. M., Rowan, R., Jara, J.",1997,Direct evidence for reproductive isolation among the three species of the Montastraea annularis complex in Central America (Panam&#x000E1; and Honduras),paper,10.1007/s002270050061,Marine Biology,"127, 705-711",""
70,primary,"Babcock, R. C., Heyward, A. J.",1986,Larval development of certain gamete-spawning scleractinian corals,paper,10.1007/bf00298178,Coral Reefs,"5, 111-116",""
81,primary,"Ayre, D. J., Resing, J. M.",1986,Sexual and asexual production of planulae in reef corals,paper,10.1007/bf00569126,Mar. Biol.,"90, 187-190",""
78,primary,"Wyers, S. C., Barnes, H. S., Smith, S. R.",1991,Spawning of hermatypic corals in Bermuda: a pilot study,paper,10.1007/bf00026450,Hydrobiologia,"216-217, 109-116",""
90,primary,"Carroll, A., Harrison, P., Adjeroud, M.",2005,"Sexual reproduction of Acropora reef corals at Moorea, French Polynesia",paper,10.1007/s00338-005-0057-6,Coral Reefs,"25, 93-97",""
92,primary,"Kružić, P., Žuljević, A., Nikolić, V.",2007,"Spawning of the colonial coral Cladocora caespitosa (Anthozoa, Scleractinia) in the Southern Adriatic Sea",paper,10.1007/s00338-007-0334-7,Coral Reefs,"27, 337-341",""
155,primary,"Graham, E. M., Baird, A. H., Connolly, S. R.",2008,Survival dynamics of scleractinian coral larvae and implications for dispersal,paper,10.1007/s00338-008-0361-z,Coral Reefs,"27, 529-539",""
66,primary,"Wallace, C. C.",1985,"Reproduction, recruitment and fragmentation in nine sympatric species of the coral genus Acropora",paper,10.1007/BF00392585,Marine Biology,"88, 217-233",""
75,primary,"Shlesinger, Y., Goulet, T. L., Loya, Y.",1998,Reproductive patterns of scleractinian corals in the northern Red Sea,paper,10.1007/s002270050433,Marine Biology,"132, 691-701",""
67,primary,"Baird, A. H., Pratchett, M. S., Gibson, D. J., Koziumi, N., Marquis, C. P.",2001,,paper,10.1071/MF00144,Mar. Freshwater Res.,"52, 865",""
69,primary,"Baird, A. H., Babcock, R. C.",2000,Morphological differences among three species of newly settled pocilloporid coral recruits,paper,10.1007/pl00006955,Coral Reefs,"19, 179-183",""
79,primary,"Vollmer, S. V.",2002,Hybridization and the Evolution of Reef Coral Diversity,paper,10.1126/science.1069524,Science,"296, 2023-2025",""
80,primary,"Wallace, C.",1994,Systematics of Coral Genus Acropora: Implications of the New Biological Findings for Species Concepts,paper,10.1146/annurev.ecolsys.25.1.237,Annual Review of Ecology and Systematics,"25, 237-262",""
87,primary,"Vargas Ángel, B., Colley, S. B., Hoke, S. M., Thomas, J. D.",2005,"The reproductive seasonality and gametogenic cycle of Acropora cervicornis off Broward County, Florida, USA",paper,10.1007/s00338-005-0070-9,Coral Reefs,"25, 110-122",""
94,primary,"Fadlallah, Y. H., Pearse, J. S.",1982,Sexual reproduction in solitary corals: Synchronous gametogenesis and broadcast spawning in Paracyathus stearnsii,paper,10.1007/bf00397040,Mar. Biol.,"71, 233-239",""
97,primary,"Fadlallah, Y. H.",1982,Reproductive ecology of the coral Astrangia lajollaensis: Sexual and asexual patterns in a kelp forest habitat,paper,10.1007/bf00376926,Oecologia,"55, 379-388",""
106,primary,"Babcock, R. C., Baird, A. H., Piromvaragorn, S., Thomson, D. P., Willis, B. L.",2003,Identification of scleractinian coral recruits from Indo-Pacific reefs,paper,"",Zoological Studies,"42, 211-226",http://zoolstud.sinica.edu.tw/Journals/42.1/211.pdf
71,primary,"Mangubhai, S., Harrison, P. L.",2006,"Seasonal patterns of coral reproduction on equatorial reefs in Mombasa, Kenya",conference proceeding,"",Proc. 10th. Int. Coral Reef Symp,106-114,""
89,primary,"Harrison, P. L., Wallace, C.",1990,"Reproduction, dispersal and recruitment of scleractinian corals",book chapter,"","Dubinsky Z (eds) Ecosystems of the world 25: Coral reefs. Elsevier, Amsterdam",133-207,""
91,primary,"Neves, E.",2000,"Histological Analysis of Reproductive Trends of Three Porites Species from Kane'ohe Bay, Hawai'i",paper,"",Pacific Science,54: 195-200,""
93,primary,"Fadlallah, Y.",1996,Synchronous spawning of Acropora clathrata coral colonies from the western Arabian Gulf (Saudi Arabia) ,paper,"",Bulletin of marine science,"59, 209",""
95,primary,"Fadlallah, Y., Lindo, R. T., Lennon, D. J.",1992,Annual synchronous spawning event in Acropora species for the western Arabian Gulf,conference proceeding,"",Proc. 7th. Int. Coral Reef Symp,"",""
96,primary,"Fadlallah, Y.",1981,The reproductive biology of three species of corals from central California,PhD thesis,"",University of California santa cruz,"",""
