resource_id,primary_secondary,author,year,title,resource_type,resource_ISBN,resource_journal,resource_volume_pages,resource_notes
573,primary,"Davies, P. S.",1984,The role of zooxanthellae in the nutritional energy requirements of Pocillopora eyedouxi,paper,10.1007/BF00263571,Coral Reefs,"2, 181-186",""
367,primary,"Dikou, A.",2009," Skeletal linear extension rates of the foliose scleractinian coral Merulina ampliata (Ellis & Solander, 1786) in a turbid environment ",paper,10.1111/j.1439-0485.2009.00295.x,Marine Ecology,"30, 405-415",""
498,primary,"Grottoli, A. G., Rodrigues, L. J., Palardy, J. E.",2006,Heterotrophic plasticity and resilience in bleached corals,paper,10.1038/nature04565,Nature,"440, 1186-1189",""
493,primary,"Fitt, W. K., Warner, M. E.",1995,Bleaching Patterns of Four Species of Caribbean Reef Corals,paper,10.2307/1542147,Biological Bulletin,"189, 298",""
509,primary,"Ralph, P. J., Larkum, A. W. D., Kühl, M.",2007,"Photobiology of endolithic microorganisms in living coral skeletons: 1. Pigmentation, spectral reflectance and variable chlorophyll fluorescence analysis of endoliths in the massive corals Cyphastrea serailia, Porites lutea and Goniastrea australensis",paper,10.1007/s00227-007-0694-0,Marine Biology,"152, 395-404",""
492,primary,"Patterson, M. R., Sebens, K. P., Olson, R. R.",1991,In situ measurements of flow effects on primary production and dark respiration in reef corals,paper,10.4319/lo.1991.36.5.0936,Limnol. Oceangr.,"36, 936-948",""
507,primary,"Rex, A., Montebon, F., Yap, H. T.",1995,Metabolic responses of the scleractinian coral Porites cylindrica Dana to water motion. I. Oxygen flux studies,paper,10.1016/0022-0981(95)00150-p,Journal of Experimental Marine Biology and Ecology,"186, 33-52",""
373,primary,"Edinger, E. N., Limmon, G. V., Jompa, J., Widjatmoko, W., Heikoop, J. M., Risk, M. J.",2000,Normal Coral Growth Rates on Dying Reefs: Are Coral Growth Rates Good Indicators of Reef Health?,paper,10.1016/s0025-326x(99)00237-4,Marine Pollution Bulletin,"40, 404-425",""
488,primary,"Le Tissier, M., Brown, B. E.",1996,"Dynamics of solar bleaching in the intertidal reef coral Goniastrea aspera at Ko Phuket, Thailand",paper,10.3354/meps136235,Marine Ecology Progress Series,"136, 235-244",""
531,primary,"Middlebrook, R., Anthony, K. R. N., Hoegh Guldberg, O., Dove, S.",2010,Heating rate and symbiont productivity are key factors determining thermal stress in the reef-building coral Acropora formosa,paper,10.1242/jeb.031633,Journal of Experimental Biology,"213, 1026-1034",""
500,primary,"Coles, S. L., Jokiel, P. L.",1978,"Synergistic effects of temperature, salinity and light on the hermatypic coral Montipora verrucosa",paper,10.1007/bf00391130,Marine Biology,"49, 187-195",""
496,primary,"Edmunds, P. J., Gates, R. D., Gleason, D. F.",2003,The tissue composition of Montastrea franksi during a natural bleaching event in the Florida Keys,paper,10.1007/s00338-003-0278-5,Coral Reefs,"22, 54-62",http://link.springer.com/article/10.1007%2Fs00338-003-0278-5
503,primary,"D’croz, L., Maté, J. L.",2004,Experimental responses to elevated water temperature in genotypes of the reef coral Pocillopora damicornis from upwelling and non-upwelling environments in Panama,paper,10.1007/s00338-004-0397-7,Coral Reefs,"23, 473-483",http://link.springer.com/article/10.1007%2Fs00338-004-0397-7
505,primary,"Glynn, P. W., Maté, J. L., Baker, A. C., Calderón, M. O.",2001,Coral bleaching and mortality in panama and ecuador during the 1997–1998 El Niño–Southern Oscillation Event: spatial/temporal patterns and comparisons with the 1982–1983 event ,paper,"",Bulletin of Marine Science,"69, 79-109",""
484,primary,"Fitt, W. K., Mc Farland, F. K., Warner, M. E., Chilcoat, G. C.",2000,Seasonal patterns of tissue biomass and densities of symbiotic dinoflagellates in reef corals and relation to coral bleaching,paper,10.4319/lo.2000.45.3.0677,Limnol. Oceanogr.,"45, 677-685",""
497,primary,"Rodrigues, L. J., Grottoli, A. G.",2007,Energy reserves and metabolism as indicators of coral recovery from bleaching,paper,10.4319/lo.2007.52.5.1874,Limnol. Oceangr.,"52, 1874-1882",""
499,primary,"Grottoli-Everett, A. G.",1995,Bleaching and lipids in the Pacific coral Montipora verrucosa,technical_report,"","In, Ultraviolet Radiation and Coral Reefs (eds, Gulko D Jokiel PL), HIMB Technical Report","41, 107-113",""
489,primary,"Szmant, A. M., Gassman, N. J.",1990,The effects of prolonged ?bleaching? on the tissue biomass and reproduction of the reef coral Montastrea annularis,paper,10.1007/bf00265014,Coral Reefs,"8, 217-224",http://link.springer.com/article/10.1007/BF00265014
506,primary,"Iguchi, A., Ozaki, S., Nakamura, T., Inoue, M., Tanaka, Y., Suzuki, A., Kawahata, H., Sakai, K.",2012,Effects of acidified seawater on coral calcification and symbiotic algae on the massive coral Porites australiensis,paper,10.1016/j.marenvres.2011.10.008,Marine Environmental Research,"73, 32-36",""
485,primary,"Harithsa, S., Raghukumar, C., Dalal, S. G.",2005,"Stress response of two coral species in the Kavaratti atoll of the Lakshadweep Archipelago, India",paper,10.1007/s00338-005-0008-2,Coral Reefs,"24, 463-474",""
495,primary,"Quan Young, L. I., Espinoza Avalos, J.",2006," Reduction of zooxanthellae density, chlorophyll a concentration, and tissue thickness of the coral Montastraea faveolata (Scleractinia) when competing with mixed turf algae ",paper,10.4319/lo.2006.51.2.1159,Limnol. Oceanogr.,"51, 1159-1166",""
501,primary,"Saxby, T., Dennison, W. C., Hoegh Guldberg, O.",2003,Photosynthetic responses of the coral Montipora digitata to cold temperature stress,paper,10.3354/meps248085,Marine Ecology Progress Series,"248, 85-97",""
494,primary,"Venn, A. A., Wilson, M. A., Trapido Rosenthal, H. G., Keely, B. J., Douglas, A. E.",2006,"The impact of coral bleaching on the pigment profile of the symbiotic alga, Symbiodinium",paper,10.1111/j.1365-3040.2006.001587.x,"Plant, Cell and Environment","29, 2133-2142",""
487,primary,"Brown, B. E., Dunne, R. P., Ambarsari, I., Le Tissier, M., Satapoomin, U.",1999,Seasonal fluctuations in environmental factors and variations in symbiotic algae and chlorophyll pigments in four Indo-Pacific coral species,paper,10.3354/meps191053,Marine Ecology Progress Series,"191, 53-69",""
533,primary,"Porter, J. W., Fitt, W. K., Spero, H. J., Rogers, C. S., White, M. W.",1989,Bleaching in reef corals: Physiological and stable isotopic responses,paper,10.1073/pnas.86.23.9342,Proceedings of the National Academy of Sciences,"86, 9342-9346",http://www.pnas.org/content/86/23/9342.full.pdf
534,primary,"Fitt, W. K., Spero, H. J., Halas, J., White, M. W., Porter, J. W.",1993,Recovery of the coral Montastrea annularis in the Florida Keys after the 1987 Caribbean ?bleaching event?,paper,10.1007/BF00302102,Coral Reefs,"12, 57-64",http://link.springer.com/article/10.1007%2FBF00302102
508,primary,"D'Croz, L. D., Mate, J. L., Oke, J. E.",2001,Responses to elevated seawater temperature and UV radiation in the coral Porites lobata from upwelling and non-upwelling environments on the Pacific coast of Panama,paper,"",Bulletin of Marine Science,"69, 203-214",http://www.ingentaconnect.com/content/umrsmas/bullmar/2001/00000069/00000001/art00013
511,primary,"Roder, C., Jantzen, C., Schmidt, G. M., Kattner, G., Phongsuwan, N., Richter, C.",2011,Metabolic plasticity of the corals Porites lutea and Diploastrea heliopora exposed to large amplitude internal waves,paper,10.1007/s00338-011-0722-x,Coral Reefs,"30, 57-69",""
555,primary,"Edmunds, P. J., Davies, P. S.",1986,An energy budget for Porites porites (Scleractinia),paper,10.1007/BF00392674,Marine Biology,"92, 339-347",""
584,primary,"Edmunds, P. J., Davies, P. S.",1989,"An energy budget for Porites porites (Scleractinia), growing in a stressed environment",paper,10.1007/bf00304690,Coral Reefs,"8, 37-43",""
535,primary,"Achituv, Y., Ben-Zion, M., Mizrahi, L.",1994,"Carbohydrate, lipid, and protein composition of zooxanthellae and animal fractions of the coral Pocillopora damicornis exposed to ammonium enrichment",paper,"",Pacific Science,"48, 224-233",""
570,primary,"Anthony, K. R. N., Connolly, S. R., Willis, B. L.",2002,Comparative analysis of energy allocation to tissue and skeletal growth in corals,paper,10.4319/lo.2002.47.5.1417,Limnol. Oceanogr.,"47, 1417-1429",""
502,primary,"Anthony, K. R. N., Hoegh Guldberg, O.",2003,"Variation in coral photosynthesis, respiration and growth characteristics in contrasting light microhabitats: an analogue to plants in forest gaps and understoreys?",paper,10.1046/j.1365-2435.2003.00731.x,Functional Ecology,"17, 246-259",""
569,primary,"Hoegh Guldberg, O., Salvat, B.",1995,"Periodic mass-bleaching and elevated sea temperatures:bleaching of outer reef slope communities in Moorea, French Polynesia",paper,10.3354/meps121181,Marine Ecology Progress Series,"121, 181-190",""
504,primary,"Schlöder, C., D'croz, L.",2004,Responses of massive and branching coral species to the combined effects of water temperature and nitrate enrichment,paper,10.1016/j.jembe.2004.08.012,Journal of Experimental Marine Biology and Ecology,"313, 255-268",""
532,primary,"Leuzinger, S., Anthony, K. R. N., Willis, B. L.",2003,Reproductive energy investment in corals: scaling with module size,paper,10.1007/s00442-003-1305-5,Oecologia,"136, 524-531",""
741,primary,"Lovelock, C. E., Reef, R., Pandolfi, J. M.",2014,Variation in elemental stoichiometry and RNA:DNA in four phyla of benthic organisms from coral reefs,"",10.1111/1365-2435.12256,Functional Ecology,"28, 1299-1309",""
572,primary,"Thornhill, D. J., Rotjan, R. D., Todd, B. D., Chilcoat, G. C., Iglesias Prieto, R., Kemp, D. W., La Jeunesse, T. C., Reynolds, J. M., Schmidt, G. W., Shannon, T., Warner, M. E., Fitt, W. K.",2011,A Connection between Colony Biomass and Death in Caribbean Reef-Building Corals,paper,10.1371/journal.pone.0029535,PLoS ONE,"6, e29535",""
491,primary,"Warner, M. E., Fitt, W. K., Schmidt, G. W.",1996,The effects of elevated temperature on the photosynthetic efficiency of zooxanthellae in hospite from four different species of reef coral: a novel approach,paper,10.1111/j.1365-3040.1996.tb00251.x,"Plant, Cell and Environment","19, 291-299",""
683,secondary,"Edmunds, P. J., Burgess, S. C., Putnam, H. M., Baskett, M. L., Bramanti, L., Fabina, N. S., Han, X., Lesser, M. P., Madin, J. S., Wall, C. B., Yost, D. M., Gates, R. D.",2014,Evaluating the causal basis of ecological success within the scleractinia: an integral projection model approach,paper,10.1007/s00227-014-2547-y,Marine Biology,"161, 2719-2734",""
