"n","area_f","area_e","area_fe","area_fer","area_cli","area_rand","area_rand_lo","area_rand_hi","spread_f","spread_e","spread_fe","spread_fer","spread_cli","spread_rand","spread_rand_lo","spread_rand_hi","celln5_f","celln5_e","celln5_fe","celln5_fer","celln5_cli","celln5_rand","celln5_rand_lo","celln5_rand_hi","cellm5_f","cellm5_e","cellm5_fe","cellm5_fer","cellm5_cli","cellm5_rand","cellm5_rand_lo","cellm5_rand_hi","celln10_f","celln10_e","celln10_fe","celln10_fer","celln10_cli","celln10_rand","celln10_rand_lo","celln10_rand_hi","cellm10_f","cellm10_e","cellm10_fe","cellm10_fer","cellm10_cli","cellm10_rand","cellm10_rand_lo","cellm10_rand_hi"
361,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,23.434006682543,23.434006682543,0.103358841529947,0.103094950134067,0.103417057927834,0.103310395571929,NA,0.102666725316751,0.102666725316751,0.102666725316751,21,21,21,21,NA,21,21,21,17.0952380952381,17.0952380952381,17.0952380952381,17.0952380952381,NA,17.1904761904762,17.1904761904762,17.1904761904762,53,53,53,53,NA,53,53,53,6.77358490566038,6.77358490566038,6.77358490566038,6.77358490566038,NA,6.81132075471698,6.81132075471698,6.81132075471698
360,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,23.339722589019,23.434006682543,0.103005772858869,0.102965621033441,0.102965621033441,0.102965621033441,NA,0.102855520990755,0.102189870127501,0.103168594274078,21,21,21,21,NA,21,21,21,17.1428571428571,17.1428571428571,17.1428571428571,17.1428571428571,NA,17.1428571428571,17.1428571428571,17.1428571428571,53,53,53,53,NA,53,53,53,6.79245283018868,6.79245283018868,6.79245283018868,6.79245283018868,NA,6.79245283018868,6.79245283018868,6.79245283018868
359,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,23.2199876820034,23.434006682543,0.103358841529947,0.103094950134067,0.103417057927834,0.103310395571929,NA,0.103022533923207,0.102010407007486,0.103527830183715,21,21,21,21,NA,21,21,21,17.0952380952381,17.0952380952381,17.0952380952381,17.0952380952381,NA,17.0952380952381,17.0952380952381,17.0952380952381,53,53,53,53,NA,53,53,53,6.77358490566038,6.77358490566038,6.77358490566038,6.77358490566038,NA,6.77358490566038,6.77358490566038,6.77358490566038
358,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,23.1686967651987,23.434006682543,0.103793766216984,0.103548009279843,0.103760095491447,0.103764056520604,NA,0.103132682481639,0.101997152228879,0.103820425922674,21,21,21,21,NA,21,21,21,17.047619047619,17.047619047619,17.047619047619,17.047619047619,NA,17.047619047619,17.047619047619,17.047619047619,53,53,53,53,NA,53,52,53,6.75471698113208,6.75471698113208,6.75471698113208,6.75471698113208,NA,6.75471698113208,6.75471698113208,6.88461538461539
357,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,23.1686967651987,23.434006682543,0.104116176093028,0.103852531983428,0.104194571637818,0.104109026958604,NA,0.103273914898934,0.102004014966728,0.104105274049199,21,21,21,21,NA,21,21,21,17,17,17,17,NA,17,17,17,53,53,53,53,NA,53,52,53,6.73584905660377,6.73584905660377,6.73584905660377,6.73584905660377,NA,6.73584905660377,6.73584905660377,6.86538461538461
356,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,22.9866685910856,23.434006682543,0.104474050148613,0.104315147210822,0.104525645315794,0.104545703688159,NA,0.10341769731355,0.102045883919694,0.104368658855624,21,21,21,21,NA,21,21,21,16.952380952381,16.952380952381,16.952380952381,16.952380952381,NA,16.952380952381,16.952380952381,16.952380952381,53,53,53,53,NA,53,52,53,6.71698113207547,6.71698113207547,6.71698113207547,6.71698113207547,NA,6.71698113207547,6.71698113207547,6.84615384615385
355,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,22.9866685910856,23.434006682543,0.104817416252947,0.104513841804434,0.104724932861814,0.104680940955144,NA,0.103530806668684,0.101918274035184,0.104554510172834,21,21,21,21,NA,21,20,21,16.9047619047619,16.9047619047619,16.9047619047619,16.9047619047619,NA,16.9047619047619,16.9047619047619,16.9047619047619,53,53,53,53,NA,53,52,53,6.69811320754717,6.69811320754717,6.69811320754717,6.69811320754717,NA,6.69811320754717,6.69811320754717,6.82692307692308
354,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,22.725712325767,23.434006682543,0.105191062979252,0.104954129178918,0.104998407379078,0.105341752934329,NA,0.103678514054924,0.102061506731272,0.104853119322651,21,21,21,21,NA,21,20,21,16.8571428571429,16.8571428571429,16.8571428571429,16.8571428571429,NA,16.8571428571429,16.8571428571429,17.7,53,53,53,53,NA,53,52,53,6.67924528301887,6.67924528301887,6.67924528301887,6.67924528301887,NA,6.67924528301887,6.67924528301887,6.80769230769231
353,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,22.9618744158759,23.434006682543,0.105815336179313,0.10561758705103,0.105354800709567,0.105617749532583,NA,0.103779066416183,0.101992153825948,0.105044579354702,21,21,21,21,NA,21,20,21,16.8095238095238,16.8095238095238,16.8095238095238,16.8095238095238,NA,16.8095238095238,16.8095238095238,17.65,53,53,53,53,NA,53,52,53,6.66037735849057,6.66037735849057,6.66037735849057,6.66037735849057,NA,6.66037735849057,6.66037735849057,6.78846153846154
352,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,22.7072977273337,23.434006682543,0.106481335505272,0.105895151350179,0.106021281676573,0.105956628530465,NA,0.103883731620829,0.102095968982729,0.105305493471097,21,21,21,21,NA,21,20,21,16.7619047619048,16.7619047619048,16.7619047619048,16.7619047619048,NA,16.7619047619048,16.7619047619048,17.6,53,53,53,53,NA,53,52,53,6.64150943396226,6.64150943396226,6.64150943396226,6.64150943396226,NA,6.64150943396226,6.64150943396226,6.76923076923077
